"","HES","HFC","HIG","HOG","HOLX","HON","HP","HPQ","HRB","HRL","HRS","HSIC","HST","HSY","HUM","IBM","ICE","IDXX","IFF","ILMN","INCY","INTC","INTU","IP","IPG","IPGP","IR","IRM","ISRG","IT","ITW","IVZ","JBHT","JCI","JEC","JKHY","JNJ","JNPR","JPM","JWN","K","KEY","KIM","KLAC","KMB","KMX","KO","KR","KSS","KSU","L","LB","LEG","LEN","LH","LKQ","LLL","LLY","LMT","LNC","LNT","LOW","LRCX","LUV","M","MA","MAA","MAC","MAR","MAS","MAT","MCD","MCHP","MCK","MCO","MDLZ","MDT","MET","MGM","MHK","MKC","MLM","MMC","MMM","MNST","MO","MOS","MRK","MRO","MS","MSCI","MSFT","MSI","MTB","MTD","MU","MXIM","MYL","NBL","NDAQ","NEE","NEM","NFLX","NI","NKE","NKTR","NOC","NOV","NRG","NSC","NTAP","NTRS","NUE","NVDA","NWL","O","OKE","OMC","ORCL","ORLY","OXY","PAYX","PBCT","PCAR","PEG","PEP","PFE","PFG","PG","PGR","PH","PHM","PKG","PKI","PLD","PM","PNC","PNR","PNW","PPL","PRGO","PRU","PSA","PVH","PWR","PXD","QCOM","RCL","RE","REG","REGN","RF","RHI","RHT","RJF","RL","RMD","ROK","ROL","ROP","ROST","RSG","RTN","SBAC","SBUX","SCHW","SEE","SHW","SIVB","SJM","SLB","SLG","SNA","SNPS","SO","SPG","SPGI","SRE","STI","STT","STX","STZ","SWK","SWKS","SYK","SYMC","SYY","T","TAP","TDG","TEL","TFX","TGT","TIF","TJX","TMK","TMO","TPR","TROW","TRV"
"HES",1,0.27841341309085,0.302715136793333,0.284160810418519,0.209645698155204,0.336482884261682,0.490594381248021,0.287813774059984,0.20101349860414,0.166013515168657,0.291290681853373,0.254651675270976,0.315416591385643,0.149313447647782,0.195342600184647,0.276849782125313,0.232456028766582,0.214526484881605,0.296707316149348,0.188529375215703,0.17416757784439,0.25818006611561,0.248154703542911,0.314057893647858,0.283720885305467,0.239874343836584,0.323531460908038,0.194061094209897,0.22024633681861,0.237111590306109,0.332314175221844,0.355847998682016,0.246422157967514,0.285093955317977,0.374306295392196,0.273231560708205,0.214660928881795,0.250911829937361,0.328509177332172,0.218198734081384,0.169296896126693,0.294638818837346,0.232673405921741,0.256627897397542,0.151197418758903,0.269174360890822,0.198692393352901,0.169481919204034,0.179794811776138,0.318922139001485,0.385064154165244,0.212428933171137,0.298120838689028,0.224497404761917,0.226167830700771,0.274951590117564,0.259983517800048,0.194401508989357,0.18971086641442,0.350640394008379,0.1611301430534,0.231312998596801,0.258149122972726,0.171799749115933,0.206831386816462,0.26115947542707,0.169170473545426,0.222429841803946,0.281461760177498,0.269817983444911,0.22799637089947,0.179583858361302,0.279811043039265,0.215011083580397,0.278185640214314,0.225055435336548,0.247522499024586,0.341192672772402,0.292691128007984,0.249334565210461,0.196390579916362,0.292983179892523,0.281864641428599,0.301243712313441,0.148292403027247,0.155249351055775,0.323174473968715,0.220783902607167,0.548587016200865,0.32416642605875,0.267005103975117,0.274231327143145,0.259855696305576,0.268357508108612,0.290759795869337,0.251204542049687,0.250379584596669,0.223626923535906,0.516864689738999,0.255422839321518,0.145907386254071,0.16009205912855,0.1636589688946,0.188320298628314,0.214428674563703,0.180976311630116,0.228261246080333,0.475580815983346,0.280739648323109,0.335155585532194,0.269775896764008,0.308834799709903,0.360517924256988,0.225480547021189,0.258713303606378,0.146217525169941,0.408298747725479,0.280669123195331,0.283372411870141,0.175422926601559,0.525489557553713,0.235795820529391,0.264269452280198,0.344474531224487,0.163305223492877,0.166151013576442,0.229388286244078,0.345347059810929,0.188623516362898,0.243776853319784,0.369427549361127,0.236382707428363,0.291615213271924,0.281558207902022,0.249650120075306,0.196761600935831,0.299593810678853,0.345271314242927,0.149195065266511,0.149397313630586,0.180878318333296,0.348784874878284,0.179612523541171,0.231811301984594,0.329698667121491,0.499845101903455,0.249110417853723,0.247044104191516,0.201121219370357,0.206971566708771,0.165643507835969,0.286204693510043,0.277746421217879,0.232513481907837,0.314642422040814,0.245809008482067,0.232282207912181,0.350947124191492,0.238217393075157,0.331652650539949,0.177024312577601,0.215360672272975,0.219017477064544,0.202664870421532,0.205306355949455,0.305176234575388,0.260434793877346,0.216921756992171,0.294193625153555,0.184200772087951,0.508973900831693,0.256716660983942,0.33253989330734,0.252329456518101,0.102735668814649,0.232677526246904,0.250035423495265,0.19322975856491,0.289781561736191,0.325848029157964,0.249905132745483,0.22443737036969,0.304827161333154,0.237882555465217,0.267461824552074,0.266175934846161,0.199161776734713,0.221416827675159,0.239329784715193,0.216759716186069,0.327556146401808,0.231317556142993,0.18145303805341,0.272601204669966,0.183336128637481,0.323880618052864,0.291908229395415,0.240071204580694,0.350782100494682,0.254343613371478
"HFC",0.27841341309085,1,0.232258463503952,0.223007238204878,0.169327387997047,0.244378809878518,0.271958316658345,0.208635802223926,0.179823698743791,0.150160670539632,0.214307325655129,0.193078870348402,0.227612415885302,0.12176855797513,0.140947499111495,0.198712620817916,0.190370939083163,0.180408464093941,0.221158629642856,0.162636419838033,0.159758107129626,0.184285817071565,0.234532773117568,0.235232528080693,0.212544348572285,0.207605836685814,0.243053477542853,0.165572021660253,0.172676845342652,0.211711123711181,0.227914036710301,0.246255146856799,0.213234483957957,0.202250559828597,0.281107536626321,0.204367476480608,0.14066015450405,0.199732221964959,0.241161567991934,0.193716441383969,0.117714934340604,0.222425688287107,0.188050970582151,0.20229028997428,0.101430096252677,0.212038107459235,0.143969512261635,0.131347770411255,0.154987875977402,0.220011988821691,0.254667015788065,0.177125046926124,0.230273874884334,0.20788285518454,0.161574352146124,0.206404471406085,0.176786458670368,0.138225175487582,0.142533085215789,0.238867890374074,0.126484114946015,0.192809561516943,0.199862771508583,0.167161064543722,0.197074237853141,0.224079317859534,0.152221227819826,0.177713203630594,0.221763308079072,0.212594457391344,0.15524956973109,0.146913141725118,0.198885761274967,0.174499202905402,0.216048626474538,0.172116789848098,0.173555491730141,0.235636813417065,0.230055387207531,0.216465744000976,0.137893404388331,0.22388482948543,0.2038320904004,0.224873897350005,0.14370398726014,0.103750850367994,0.232340314104366,0.160832267232588,0.300475772103461,0.230241072417533,0.225269844450846,0.214080481550702,0.189884772052908,0.210217102775028,0.221323987609686,0.195943638760971,0.209628727657491,0.192497709869682,0.251915278033846,0.205094884726122,0.116781538655768,0.130835392976855,0.161056766496554,0.13578245025637,0.178049275961926,0.153092478381215,0.16921154202757,0.271155638740095,0.179092156478526,0.216703521144648,0.202712686758524,0.213468485668415,0.244202183094107,0.19242952961876,0.187249495273493,0.127722169946721,0.2567080896338,0.209446197657823,0.208908555823881,0.182885516610925,0.282756473363411,0.200346344357198,0.190817938286574,0.246828584580284,0.129358153062674,0.101476345521478,0.182527071632121,0.246486142067295,0.132556334030675,0.198741333729567,0.254712465168321,0.19252306141626,0.227913917433745,0.224342833084748,0.20882700051563,0.127184232312027,0.211847907542337,0.240236228527009,0.115938608333646,0.092225333153828,0.146429902225514,0.252401587093285,0.161517843459661,0.184670561326283,0.235810061941296,0.254917164321875,0.211573602485509,0.190565060683799,0.154124175083067,0.166165824516379,0.159742548213947,0.212404303804511,0.254962266249972,0.213653180477383,0.235475505998227,0.199903244232903,0.174124064338637,0.24293939774328,0.187871692553605,0.251329854138355,0.186314063355957,0.179849514621839,0.173116489395414,0.167795193790736,0.191135216887418,0.225962583235332,0.204552735744804,0.178936143285886,0.224071314316291,0.10996143245958,0.273480109947793,0.21604403579675,0.245955974463669,0.210960273976123,0.0714102853329504,0.173622773136679,0.218558074714749,0.145610368896054,0.221483150923284,0.222165771251043,0.204322981678035,0.164584413434639,0.231205245989106,0.205251358930051,0.182242259042794,0.194820903924708,0.148997214732179,0.142968590970949,0.154886467004742,0.199197732514489,0.235134607274151,0.183644772857808,0.144377398482219,0.220962057347285,0.173838232888569,0.236136685974069,0.208370036209525,0.192570366285707,0.267680827159456,0.191712940431786
"HIG",0.302715136793333,0.232258463503952,1,0.358081036693251,0.273976238779466,0.412464587497569,0.282335318636187,0.296400292651976,0.270740797102081,0.24639893296491,0.364489350363583,0.337568337960923,0.394663090192862,0.213889449375226,0.250292384842644,0.340296542266495,0.340190079361472,0.271879495717496,0.365120947780232,0.228434973128461,0.231323952482604,0.303778997118228,0.333128950460118,0.353913623960403,0.352500833651147,0.27243236474582,0.383101992969184,0.251311509407544,0.252690528924982,0.313287560164013,0.395257192377339,0.471270833289544,0.305169728248847,0.331393348534052,0.393373630997038,0.375408952454403,0.303228907586401,0.287642253894152,0.483310680128391,0.273657479203121,0.216495684678227,0.442568834610354,0.311575104022,0.324852155088741,0.243461195377508,0.32671977787758,0.268189263807119,0.218039553484361,0.206594920631968,0.346683909488367,0.523995488193526,0.266305213614525,0.379698030867037,0.309539941823655,0.277387250569373,0.326646295655467,0.347191316891369,0.248288492602901,0.306212756349534,0.547338339545464,0.217424822428097,0.315681235620316,0.330126507764924,0.296181125127848,0.247707704218431,0.314037165293306,0.248221935513641,0.306492963601953,0.371729861544688,0.363043546818049,0.242474718883444,0.244511311467487,0.311789962461862,0.281608077427776,0.396465821728258,0.281353063465461,0.330372387224027,0.548492071899874,0.327894314773524,0.345620929379473,0.271375528737784,0.319009100036535,0.447650238013751,0.401033636640985,0.20802524440838,0.214394520322143,0.269627804199192,0.276500608998495,0.278419207872662,0.475534907005129,0.346345374672468,0.292676406426127,0.307668671590959,0.449715504464924,0.355688390289599,0.278198999067411,0.285930019387768,0.272799847984089,0.273507926685374,0.380345986854249,0.204337358458771,0.0778702793489186,0.173820535398846,0.221594033908362,0.293174191961437,0.230664574623422,0.344680146539475,0.289392193772564,0.225786457243996,0.352247092176669,0.28086051477312,0.47098777597467,0.360531731162745,0.268437976499363,0.319734749688509,0.225863644683116,0.253071886831502,0.353204851586269,0.333621364953581,0.234685270574163,0.309639922512705,0.347163605183702,0.389641651386468,0.39246348123409,0.20558629581359,0.249620521525166,0.289656459173834,0.542514070564653,0.257012966537676,0.418243590859058,0.399984656785101,0.321360810927884,0.326250722893934,0.356503172099267,0.349651926453691,0.229188854902038,0.467180781118323,0.378858425965669,0.206745057242049,0.17512416596079,0.238550574451993,0.548197111968897,0.282895375480941,0.272730670879746,0.323379657349149,0.292041456412861,0.289748896469069,0.374992709890948,0.370166605451405,0.29958821675121,0.200271166715583,0.443483548462804,0.399788946817744,0.288279648900655,0.457351539627378,0.299198476983978,0.259126498908352,0.388054782578421,0.329146151142084,0.395045883694891,0.24983839645698,0.314068655105097,0.310110109603909,0.228894964625072,0.307863746261547,0.446800524379932,0.35863376829828,0.299091132749528,0.407138474825375,0.231947358547948,0.323504367445532,0.336827758872924,0.392607089201934,0.323769650155799,0.146721022270454,0.300303790078845,0.342793162203513,0.213297490723965,0.46497691848364,0.457606831348956,0.257498560585293,0.284899686111326,0.390836945236447,0.289124365795121,0.34648425818795,0.29543100641686,0.276771631914108,0.266705080278376,0.271030181004614,0.278674546238259,0.392912065844289,0.305348952333558,0.242334230520183,0.311004265000946,0.267201543100197,0.545004067737515,0.37499576787946,0.282889085858138,0.489689205447111,0.45359809885408
"HOG",0.284160810418519,0.223007238204878,0.358081036693251,1,0.251969749355354,0.375028475708563,0.2832088859316,0.272254623695875,0.246194317958097,0.222025026366384,0.309586949029708,0.308079903753011,0.357269296284386,0.185037669572816,0.232828766031769,0.327190771991273,0.267208569658463,0.264908021538303,0.321190602766541,0.227517023768329,0.229516743867014,0.271088778005753,0.296122635599529,0.346028810510598,0.3450381315686,0.25615854569776,0.360975598404496,0.243623835715389,0.246856936349987,0.31481940682954,0.374366389364671,0.397343423964822,0.299330967310419,0.311367537287882,0.360873613934847,0.320798654903571,0.251736771647996,0.285605241804402,0.350991372420235,0.310249483221558,0.198574131657317,0.328105176656359,0.28643970416386,0.296461155669467,0.199818616504319,0.341505554827522,0.231784013519351,0.204610370071096,0.246713916537112,0.34055567372368,0.381641912225001,0.30808625445873,0.369423231260562,0.286060869863995,0.250049758952507,0.333211788895652,0.29225583801141,0.217403634194634,0.254011577059386,0.39134521799766,0.188070454264873,0.317458981630031,0.291350383906089,0.270838537026586,0.307494000310517,0.295746154670451,0.226568969245107,0.288544474372994,0.368519712385739,0.3305401540869,0.290278365096395,0.224989250497422,0.303007790333273,0.273779650453611,0.354354037002418,0.246051043349928,0.268416812871129,0.367111924609792,0.320223087435371,0.338610409354066,0.241045140093616,0.295096725678949,0.341952812276433,0.353951590202689,0.195112977290032,0.192438322491286,0.27552224832324,0.237287153707441,0.278252298962851,0.348258102783091,0.29470656268874,0.276773368402142,0.284792495738129,0.328673247587353,0.349725539909986,0.252875327248281,0.278830908540016,0.263367428499676,0.277891572578042,0.304972520188749,0.157961216080561,0.0900686571799178,0.188976026726232,0.192734735859305,0.321188059911994,0.201186310851521,0.274995821743433,0.275767791289451,0.207465576089762,0.342122562948138,0.278423348189217,0.350572522772664,0.343212294276315,0.241010921272211,0.333633243125738,0.19479469974372,0.263940094195719,0.34851865027106,0.300796725230857,0.262177272042404,0.290271601985039,0.317710979966734,0.303195952620605,0.389774371940727,0.185869473342593,0.206311654385292,0.239911749436882,0.393992070487442,0.216578310934552,0.29934810543729,0.386383839017958,0.284154186667146,0.327415687339972,0.334611390572942,0.292066563886364,0.220194309629277,0.344153927699541,0.370323457197542,0.185764889562903,0.15950324928047,0.229498456407371,0.385257339546056,0.238104110326789,0.32246632593653,0.327250977820676,0.284610154827071,0.285672682822192,0.33465674170981,0.242199770139355,0.266912869262364,0.208395079253944,0.313751286484147,0.364569990132668,0.294597353634758,0.372805312774723,0.348620456371909,0.246606012595133,0.385916747286879,0.300922437572166,0.365750043426919,0.270121721593845,0.285435461595947,0.25694421212914,0.211720212045628,0.297597263254463,0.340273202974234,0.320744846519403,0.294522037374855,0.314978502698161,0.211907136127598,0.305875022111081,0.310731864870486,0.387928092320918,0.309043573042934,0.12147174465291,0.27418264261413,0.311274833600472,0.195683683108052,0.335319136376229,0.362505215760645,0.275819525748135,0.248075691209333,0.363393791275807,0.274498675432982,0.292322361620815,0.276846690200417,0.250893436817827,0.263243106582572,0.234783520932434,0.264218621568737,0.349741136638959,0.260234008123809,0.260933383238117,0.353893289767468,0.298458354199086,0.362704039472024,0.334505437414865,0.327755809505123,0.406234777251006,0.311658812377325
"HOLX",0.209645698155204,0.169327387997047,0.273976238779466,0.251969749355354,1,0.312252959101811,0.199752654867793,0.247167936453723,0.23165592410843,0.201031665404284,0.291316808001136,0.352075967308612,0.251568888579478,0.169234729040729,0.249900575720272,0.279141254510887,0.215563361699522,0.3387178382887,0.277925414349675,0.275593575535733,0.27080425336928,0.261490136893618,0.295593261448419,0.270104895172214,0.276243640933972,0.23522854193199,0.287084029764532,0.208114327469514,0.313260256754965,0.282124024599342,0.298426979558807,0.290393432885237,0.245620683130544,0.266799495415922,0.282659149271623,0.319610607913207,0.272868975876862,0.248025743688808,0.272260586989617,0.214673179534306,0.180270514134669,0.249040143667671,0.226213370133972,0.27908923051409,0.194214053141941,0.260343743041258,0.178929940344676,0.178579271593195,0.16841580354078,0.265247468399298,0.284802729645149,0.218270752235316,0.307029574259177,0.240982154502122,0.315782511133228,0.27369175137742,0.266852051721173,0.2616462128033,0.228615258327496,0.294731234438094,0.184431855055804,0.236816584280827,0.281085855064501,0.243576945602656,0.197155167772206,0.272996026357651,0.207044894873046,0.233813572464014,0.287903668426784,0.272602378036864,0.203143813029721,0.207025457392735,0.277696739654989,0.275686465084705,0.30310564976055,0.23070307151987,0.356251991840342,0.282082958918178,0.272036965621645,0.293355369090289,0.233124747279407,0.239677837925703,0.278299252775562,0.305845641660439,0.195040762429743,0.153172117862773,0.182953702649036,0.2596443309513,0.19111271704793,0.269312422791599,0.280066646426323,0.268669453228957,0.274440201269623,0.244329998781913,0.350587068439833,0.237435763440812,0.276681002373278,0.260942103593348,0.198339919611781,0.254513969059283,0.1620140316886,0.0575759421318426,0.165321451014341,0.177265774276739,0.258162046523005,0.249986543431041,0.251275582203712,0.205735479510184,0.177870779753601,0.26623778665917,0.236471800681702,0.270542858998501,0.258463741882816,0.237646102034718,0.288461195944162,0.169987330646485,0.204516604493715,0.281066348623664,0.300551702837855,0.22723577308716,0.226372355026204,0.29338547599979,0.227178270686785,0.297684132140764,0.145165419537611,0.183825987652082,0.264056575209976,0.293769379132727,0.197689332370872,0.24609280052017,0.285691918812044,0.234286253420763,0.266507458508566,0.356440387567946,0.245072944458395,0.176801168662106,0.25986648729818,0.272623131721624,0.174263593648202,0.136126052081672,0.229690629646156,0.296630116689566,0.195892172413127,0.238921209878383,0.254386967671846,0.221185014495989,0.275342789699698,0.284999963165328,0.220471384268868,0.233215349029431,0.235377516083116,0.234273837655703,0.308532736378924,0.271913782494008,0.299713972720693,0.230385990546066,0.283765841959105,0.283374516086885,0.279748056895208,0.321294681984187,0.227280814436885,0.247155805738205,0.236750000264224,0.188773487253618,0.26914602379758,0.281842776001617,0.294011210850414,0.243482329005857,0.265175029901673,0.182499988183736,0.21783679666879,0.253459246637669,0.302887514270418,0.294303521217109,0.117759804703973,0.212381057185155,0.283332279864538,0.185528965101649,0.264625776845686,0.264520685217533,0.238581345218235,0.245436896921634,0.305156451764012,0.279397653513597,0.352175758554995,0.264178323917738,0.2244848067527,0.183466162674443,0.23269696320358,0.249443043031527,0.302363350807665,0.351884497435122,0.190273746256258,0.253454352094831,0.237249589665883,0.29833043573018,0.35751451074659,0.232538950653604,0.305791382537692,0.240932007413973
"HON",0.336482884261682,0.244378809878518,0.412464587497569,0.375028475708563,0.312252959101811,1,0.318793055502205,0.341279323360264,0.283222784097113,0.287829074846566,0.427599125922839,0.373379848052002,0.381197503594271,0.254448314000935,0.26842215271473,0.387087317404278,0.32284563730094,0.310266458842572,0.427019171435955,0.283916188472412,0.254997095783869,0.34829826007159,0.384648669388703,0.389492337770337,0.386315064783228,0.310682081667793,0.494249951545326,0.310934295207401,0.308935458695115,0.37133624950273,0.531133997085392,0.445279037169054,0.35732118413181,0.403877308679362,0.451142275419105,0.425499152483627,0.353500624527026,0.317157447344451,0.409857461788336,0.282278859553872,0.24943989631751,0.38078714081335,0.304565765385315,0.371789658101957,0.278289105208081,0.347791319581793,0.315272913092946,0.231406731602245,0.215380063036588,0.420227659014631,0.450865791273565,0.282353134579591,0.418523217160496,0.322104227596185,0.300429349174633,0.362200688085401,0.432665500065693,0.29534350545102,0.410319405992815,0.444666289433813,0.260929095463072,0.340349522559351,0.365624132807644,0.311249248087046,0.265265950123565,0.385921748219472,0.268867997561892,0.29496980696063,0.411956520588037,0.397304113361686,0.272528967739733,0.288819743976978,0.388854238390253,0.292223877859007,0.426062985259428,0.317944123076964,0.370187189365305,0.417619881236851,0.339337494374616,0.381040614283958,0.32198784441449,0.348409257655204,0.432820126772707,0.523524823135414,0.24039168703274,0.271750561497856,0.299139433086015,0.30520559338555,0.315112283644302,0.399106013337607,0.373729077129701,0.368068702541384,0.351795766066254,0.382601010530972,0.435998437525819,0.302340479622569,0.34701262339896,0.295599920803453,0.319063284678759,0.373709670733122,0.24640427225263,0.103765511223173,0.196745732355099,0.268063732612375,0.344894205710284,0.248980668415125,0.447506699858273,0.329194166908416,0.24013014325741,0.434117153208789,0.302391080638759,0.417067419474727,0.401426437448008,0.300692531863119,0.35706880816465,0.238159180384319,0.300854398447823,0.403137692124861,0.39234864142057,0.290641043858126,0.352631369856834,0.42019634374396,0.349529426697434,0.479062253419354,0.240995527941246,0.299991075912097,0.327620849230732,0.465512807806296,0.288333872733456,0.381447728197989,0.50722159359099,0.310786950288578,0.37431467649143,0.417094596137225,0.342187615913804,0.284743034834008,0.414114655909133,0.459537620512436,0.239192487649067,0.198217397043181,0.265855474257221,0.451842669817314,0.279451975441997,0.297964012332313,0.391713330844208,0.317791891774327,0.358694509958997,0.377435606099745,0.298760128818186,0.297434632907766,0.227794216648662,0.352859249290268,0.434655484444813,0.360410327572346,0.425897679089315,0.319898079000517,0.306594147258658,0.501485871761855,0.38272306229946,0.524883465017205,0.282742849773039,0.383960181464731,0.41432855918527,0.27223633283724,0.332021989279204,0.406544831733608,0.391565290144829,0.355081915561044,0.370242686517047,0.273011983829662,0.368995126843652,0.332490366495622,0.475091529500933,0.381773751939183,0.179880296163952,0.301562453827178,0.403617946707325,0.27442329603742,0.386687969612543,0.427637409052721,0.291112223593066,0.304768775167659,0.475600536626546,0.32277667609427,0.386216058206658,0.332162676420416,0.307100366525841,0.289743577574879,0.303204917976221,0.380097204704443,0.451928853884603,0.370603356077233,0.256043401844373,0.35460413852241,0.299514813168602,0.439957767403032,0.423724630848001,0.309190877532517,0.47674810713487,0.39254812971992
"HP",0.490594381248021,0.271958316658345,0.282335318636187,0.2832088859316,0.199752654867793,0.318793055502205,1,0.267483691953547,0.204459804426409,0.172780406570434,0.288123436462491,0.225807335444077,0.281046157623943,0.156456676630921,0.174767860973451,0.27105466378646,0.214867143996127,0.194273573994904,0.257448506136339,0.173970000989253,0.175867854393865,0.243094937725025,0.228236695842815,0.291481596880215,0.271592116254184,0.234877687400551,0.31420345175187,0.188683011887858,0.187691848247121,0.224418982883658,0.298942829761564,0.318635714250461,0.236854630259673,0.300542945764383,0.37016045756065,0.259802355520518,0.192970985000989,0.240217258150689,0.292013115517206,0.209645712254055,0.148505300751889,0.281821881834773,0.202988957188776,0.251093437458455,0.135687562469143,0.259771877697056,0.182385469295199,0.160504320723542,0.183831019440039,0.294265321075841,0.353618410811243,0.191220287749686,0.268384143624514,0.218182266685782,0.200067477967911,0.251551554729479,0.246673269757128,0.16800952850305,0.167861164526799,0.327636942502206,0.143619519861018,0.214111422275175,0.236394774499883,0.153887346390996,0.205005007532828,0.224362933547312,0.147589499677992,0.204502626641246,0.258434981511536,0.239983560516559,0.217193757287338,0.147240680609921,0.266145361027357,0.205143008224959,0.267568193365889,0.192887826607472,0.214525553017716,0.308785398547166,0.270156101947952,0.225127044667162,0.181957596273539,0.271697956648435,0.26263296886083,0.291053847107575,0.144086353572602,0.122233548030823,0.322896574419599,0.181185228234023,0.477854928406466,0.289057405606274,0.238992046608582,0.235060232155786,0.226735313384978,0.270099258230884,0.258468329592316,0.256099819683911,0.228314184521499,0.228616051660974,0.467398560315507,0.244232426360779,0.132259110576848,0.15123215181335,0.152892276519285,0.156819932644366,0.193110469252371,0.157329992945917,0.212436761261575,0.519988085631105,0.262538899079887,0.306903174573632,0.264341424733621,0.27974295408191,0.354181841817306,0.214938918601425,0.25228995690002,0.134154595000414,0.381806037564759,0.259711468270343,0.274700653972289,0.160796162519665,0.455193511784569,0.223208895417723,0.254968182414771,0.332339142808819,0.142843974447754,0.144849571470821,0.194617325497048,0.316339389461959,0.157324173218824,0.217846735156301,0.357727685393718,0.216063947706378,0.271913471403943,0.279882892940273,0.213423459168151,0.167602427298783,0.279490027366418,0.339259985951864,0.126866142038732,0.121894895906874,0.176871142364906,0.314683364506798,0.153736139714035,0.236955932081285,0.320128433240356,0.477384779985461,0.266568970235641,0.216306505540522,0.181780322261572,0.178204010193025,0.153087314663918,0.277863921127005,0.269094587083245,0.222646690244861,0.294735058205868,0.238912495898166,0.203459122514834,0.340919303054408,0.232277038122721,0.316783265503868,0.172577940676068,0.206458601476322,0.195341329500835,0.184606550761896,0.181523629600111,0.282815476980793,0.235480060435737,0.205084950088442,0.287966414552479,0.170458535120908,0.526296631308591,0.22567150957155,0.305290385154699,0.222721601985322,0.0809217244659754,0.202617070294707,0.223465191749654,0.165337489528195,0.271808943382389,0.297800986867707,0.256813465819801,0.200789640742457,0.293648628499809,0.234966579793384,0.225524833758702,0.250499622757514,0.182445051687282,0.193488864579206,0.213507833354217,0.205766773963394,0.302421752977057,0.217006300021442,0.1673719103107,0.263510427233437,0.182875834217339,0.292098452700357,0.272241644662631,0.236265172857938,0.327208905809153,0.232764205157981
"HPQ",0.287813774059984,0.208635802223926,0.296400292651976,0.272254623695875,0.247167936453723,0.341279323360264,0.267483691953547,1,0.219605508024732,0.199564615411802,0.31254657150901,0.260674114548747,0.293806417748307,0.174926290417527,0.186618347010745,0.358668431752569,0.237672814471687,0.252342716663807,0.300894400473395,0.21814251143372,0.179490196451693,0.347095370288583,0.316392019992548,0.286218583349222,0.272440770438556,0.248165543469081,0.32759065610414,0.206130803533061,0.251149916421912,0.264289311155586,0.32937755367921,0.333325048083812,0.248285754769565,0.273754071400853,0.33643684471935,0.302192303501426,0.256247912499976,0.303554966229763,0.314850191732437,0.224333173705155,0.168639997302574,0.277924494924026,0.203148293158199,0.327870118381342,0.167148506833925,0.278092811363768,0.20832093694883,0.18197967768099,0.192418586487995,0.26422812594121,0.337231029473318,0.20939427555005,0.283696322653367,0.221963424502866,0.264242631642092,0.250780801702955,0.28412365645307,0.220527238852446,0.249876500542049,0.329747202351009,0.15096920350265,0.236327843501497,0.312245205864163,0.238428176510186,0.212148276883214,0.286040751785934,0.156527199580793,0.205383942312397,0.287642923198645,0.259998614248283,0.220845195786989,0.203062343635032,0.345931804305127,0.233163297240954,0.298905046314545,0.229298782063356,0.280491269199522,0.322381990465338,0.302451647203469,0.265296741239934,0.208137060052412,0.240991418265582,0.295390869525592,0.323052682018031,0.167613546555422,0.172435108293718,0.252789371249212,0.234101971978883,0.263330270868793,0.305288051295773,0.284719893832512,0.320799477275442,0.277787564769538,0.267658670652114,0.288856909651468,0.30513898186698,0.311808817641415,0.246904658890624,0.247525600429784,0.279773170588957,0.145026453716432,0.113396610322675,0.166379641529812,0.16024954920322,0.245871964636617,0.186541654977386,0.277363400996436,0.267942158076328,0.219139943276855,0.305185966167605,0.340083562027756,0.309659075549362,0.323470419887289,0.291159802729044,0.264796795804153,0.138986994887784,0.233521575097809,0.28722048031972,0.335462812499932,0.184900424146611,0.264741229013819,0.288965874692868,0.264457250500339,0.318224078560378,0.16545837886202,0.195993509590227,0.243466393584851,0.337995370548446,0.213243621772223,0.265021299818536,0.342326220818251,0.223007443038417,0.284124121241222,0.301891290925111,0.231624769401746,0.208951882834283,0.290077221316526,0.314180223765184,0.145831800414754,0.134356086067062,0.187606853024418,0.34417071458166,0.177177225838051,0.226758830050735,0.282572634874644,0.250295298018339,0.295481058578652,0.274338194645874,0.210190455573402,0.193348446772132,0.164996408488662,0.267483555747363,0.322843086049351,0.291337281234839,0.322185893831215,0.241086869305826,0.237010474959944,0.320525825180087,0.25646727101665,0.319456771362137,0.198075566787074,0.249554154410237,0.253816907950348,0.184024075111352,0.225664716364949,0.303086841083746,0.283682541806571,0.223276774811348,0.278658680253045,0.182772743407325,0.290389872919012,0.231404393397263,0.317050463927074,0.321846545636859,0.0979046001712413,0.200664124272006,0.292976082914358,0.167184648532128,0.279319922460337,0.304029294326953,0.332722218553569,0.208545340278338,0.310035991205978,0.265926831909072,0.293195106091411,0.299279501410014,0.221739528762821,0.224592861682468,0.225793806293623,0.229453768013432,0.344843461884507,0.273077118864297,0.200562272573606,0.256265301991207,0.205851331634057,0.325025122749791,0.305326701634198,0.237807488078611,0.336687832438117,0.277330998022828
