"","date","open","high","low","close","volume","adjusted"
"1",2018-01-02,267.839996,268.809998,267.399994,268.769989,86655700,262.603241
"2",2018-01-03,268.959991,270.640015,268.959991,270.470001,90070400,264.264221
"3",2018-01-04,271.200012,272.160004,270.540009,271.609985,80636400,265.378052
"4",2018-01-05,272.51001,273.559998,271.950012,273.420013,83524000,267.146545
"5",2018-01-08,273.309998,274.100006,272.980011,273.920013,57319200,267.635071
"6",2018-01-09,274.399994,275.25,274.079987,274.540009,57254000,268.240875
"7",2018-01-10,273.679993,274.420013,272.920013,274.119995,69574300,267.830475
"8",2018-01-11,274.75,276.119995,274.559998,276.119995,62361500,269.784576
"9",2018-01-12,276.420013,278.109985,276.079987,277.920013,90816100,271.543304
"10",2018-01-16,279.350006,280.089996,276.179993,276.970001,106555100,270.615112
"11",2018-01-17,278.029999,280.049988,276.970001,279.609985,109354500,273.194489
"12",2018-01-18,279.480011,279.959991,278.579987,279.140015,100728000,272.735321
"13",2018-01-19,279.799988,280.410004,279.140015,280.410004,140920100,273.976166
"14",2018-01-22,280.170013,282.690002,280.109985,282.690002,91322400,276.203827
"15",2018-01-23,282.73999,283.619995,282.369995,283.290009,97084700,276.7901
"16",2018-01-24,284.019989,284.700012,281.839996,283.179993,134816100,276.682617
"17",2018-01-25,284.160004,284.269989,282.399994,283.299988,84587300,276.799805
"18",2018-01-26,284.25,286.630005,283.959991,286.579987,107743100,280.004608
"19",2018-01-29,285.929993,286.429993,284.5,284.679993,90118300,278.148163
"20",2018-01-30,282.600006,284.73999,281.220001,281.76001,131796400,275.295197
"21",2018-01-31,282.730011,283.299988,280.679993,281.899994,108364800,275.432007
"22",2018-02-01,281.070007,283.059998,280.679993,281.579987,90102500,275.119324
"23",2018-02-02,280.079987,280.230011,275.410004,275.450012,173174800,269.130005
"24",2018-02-05,273.450012,275.850006,263.309998,263.929993,294681800,257.874268
"25",2018-02-06,259.940002,269.700012,258.700012,269.130005,355026800,262.954987
"26",2018-02-07,268.5,272.359985,267.579987,267.670013,167376100,261.528473
"27",2018-02-08,268.01001,268.170013,257.589996,257.630005,246449500,251.718857
"28",2018-02-09,260.799988,263.609985,252.919998,261.5,283565300,255.500046
"29",2018-02-12,263.829987,267.01001,261.660004,265.339996,143736000,259.251923
"30",2018-02-13,263.970001,266.619995,263.309998,266,81223600,259.89682
"31",2018-02-14,264.309998,270,264.299988,269.589996,120735700,263.404419
"32",2018-02-15,271.570007,273.040009,268.769989,273.029999,111200300,266.765472
"33",2018-02-16,272.320007,275.320007,272.269989,273.109985,160420100,266.843628
"34",2018-02-20,272.029999,273.670013,270.5,271.399994,86369700,265.172852
