date,open,high,low,close,volume,adjusted
2017-01-03,225.039993,225.830002,223.880005,225.240005,91366500,215.875137
2017-01-04,225.619995,226.75,225.610001,226.580002,78744400,217.159409
2017-01-05,226.270004,226.580002,225.479996,226.399994,78379000,216.986893
2017-01-06,226.529999,227.75,225.899994,227.210007,71559900,217.763229
2017-01-09,226.910004,227.070007,226.419998,226.460007,46265300,217.044403
2017-01-10,226.479996,227.449997,226.009995,226.460007,63771900,217.044403
2017-01-11,226.360001,227.100006,225.589996,227.100006,74650000,217.657791
2017-01-12,226.5,226.75,224.960007,226.529999,72113200,217.111511
2017-01-13,226.729996,227.399994,226.690002,227.050003,62717900,217.609879
2017-01-17,226.309998,226.779999,225.800003,226.25,59261200,216.84314
2017-01-18,226.539993,226.800003,225.899994,226.75,54793300,217.322342
2017-01-19,226.839996,227,225.410004,225.910004,66608800,216.517288
2017-01-20,226.699997,227.309998,225.970001,226.740005,129168600,217.312775
2017-01-23,226.740005,226.809998,225.270004,226.149994,75061600,216.747269
2017-01-24,226.399994,228.080002,226.270004,227.600006,95555300,218.137009
2017-01-25,228.699997,229.570007,228.509995,229.570007,84437700,220.025101
2017-01-26,229.399994,229.710007,229.009995,229.330002,59970700,219.79509
2017-01-27,229.419998,229.589996,228.759995,228.970001,59711100,219.450058
2017-01-30,228.169998,228.199997,226.410004,227.550003,79737300,218.089096
2017-01-31,226.979996,227.600006,226.320007,227.529999,75880800,218.069916
2017-02-01,227.529999,228.589996,226.940002,227.619995,79117700,218.156189
2017-02-02,227.619995,228.100006,226.820007,227.770004,69657600,218.299942
2017-02-03,228.820007,229.550003,228.460007,229.339996,80563200,219.804672
2017-02-06,228.869995,229.330002,228.539993,228.929993,57790100,219.411713
2017-02-07,229.380005,229.660004,228.720001,228.940002,57931200,219.42131
2017-02-08,228.940002,229.389999,228.309998,229.240005,51566200,219.708817
2017-02-09,229.240005,230.949997,229.240005,230.600006,65955200,221.012268
2017-02-10,231,231.770004,230.619995,231.509995,66015900,221.884445
2017-02-13,232.080002,233.070007,232.050003,232.770004,55182100,223.092056
2017-02-14,232.559998,233.710007,232.160004,233.699997,67794500,223.983383
2017-02-15,233.449997,235.139999,233.389999,234.919998,86785800,225.152664
