"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",202.767468265307,196.233814682689,209.518661466195,192.860765760248,213.183049567653
"252",194.196015222983,185.406061817216,203.402693303867,180.915159021141,208.451809856785
"253",199.549953731562,188.544640603299,211.1976447957,182.966642832041,217.636304726991
"254",200.427047784473,187.718668480911,213.995772549837,181.320766323462,221.546612106952
"255",209.508263859287,194.712736557031,225.428050580945,187.308229612405,234.339477321213
"256",213.210473805709,196.77319367688,231.020828045828,188.591179027231,241.043649946593
"257",216.264030212769,198.312450848659,235.840616984568,189.42076287929,246.911320876024
"258",216.426769329641,197.277795694108,237.434457931063,187.836619967967,249.368554919982
"259",214.238402103479,194.188731030616,236.358169149453,184.346181007421,248.977725955735
"260",214.636307799052,193.518096983812,238.059103224145,183.193374091376,251.476041937142
"261",217.549553668299,195.155633296594,242.513154766832,184.249806900936,256.86761412305
"262",218.186342374564,194.783732306082,244.400697302504,183.429058980551,259.529652844364
"263",213.479566564784,189.700900530425,240.238845536628,178.20493928801,255.736600358945
"264",216.43353071614,191.470376924211,244.65128220224,179.443223942955,261.048994712366
"265",221.605042187102,195.203971128205,251.576822125682,182.526211800955,269.050643401839
"266",222.314167836481,195.015626119375,253.433995030599,181.948958249984,271.634362165034
"267",221.110821419075,193.179555018107,253.080587870883,179.851615276461,271.835175199657
"268",213.634897772194,185.918686381726,245.482960504727,172.733323536521,264.221567742176
"269",214.886080146357,186.29681111953,247.862683012,172.736091340259,267.321247588658
"270",222.407985205741,192.104165031564,257.4921364935,177.771353067613,278.252435106705
"271",228.209178104174,196.403204476366,265.165882144501,181.401953494643,287.094091147813
"272",225.439999411354,193.335886201492,262.87511508145,178.235345511362,285.146547048668
"273",232.378333204917,198.599271786902,271.90275803749,182.753302681796,295.478598475006
"274",231.924400351362,197.542816094833,272.289970051439,181.456330076059,296.429049655049
"275",233.092245142069,197.881714144357,274.568041722817,181.449537628585,299.433084566929
"276",231.16340058013,195.608812702682,273.180523052358,179.057701860873,298.431830702761
"277",227.783017213902,192.136123065446,270.043457228475,175.582895057849,295.502035742003
"278",227.744304882255,191.50446536942,270.842083531822,174.71657362309,296.866332315979
"279",224.701648315574,188.367227789059,268.044666518516,171.575499913326,294.277625775487
"280",230.519510734345,192.662532663125,275.815147318328,175.208018424912,303.292311087779
"281",222.209160668229,185.167034806752,266.66145589257,168.127452066572,293.687381078774
"282",197.375686927781,163.994058739478,237.552275305905,148.673043031695,262.032450508922
"283",222.829620075447,184.611936399926,268.958987979002,167.110390133104,297.127183674331
"284",233.268877369736,192.714689277991,282.357143366711,174.18389069189,312.396105823524
"285",237.518269458445,195.678965774644,288.303487823548,176.602278572479,319.446208636439
"286",239.187998633791,196.513681331991,291.129341746877,177.097746080253,323.047017574762
"287",238.066190271316,195.062541577456,290.550458801407,175.53790973924,322.867641721891
"288",240.64484253496,196.648785721162,294.484097759898,176.715026739771,327.702410525357
"289",240.007787164773,195.611229094681,294.480731839016,175.537213245475,328.156843980296
"290",239.663151590269,194.822026903223,294.825113685489,174.588008650813,328.994108324247
"291",239.798791629722,194.431301557494,295.752072873261,174.000668462253,330.478388245672
"292",239.009014519465,193.298918524703,295.528342618563,172.754635162202,330.673090003809
"293",234.634771913705,189.285145485201,290.849427459699,168.942643779413,325.870810112806
"294",234.739195091319,188.899758124974,291.702277753395,168.377206738635,327.256228912584
"295",235.937825804168,189.398781520023,293.912438076127,168.602758652646,330.164571979998
"296",235.119866938762,188.284484635848,293.605455256804,167.395532531928,330.243889984082
"297",240.521316041095,192.147959601252,301.072692055604,170.613336096321,339.073748827468
"298",240.089261362015,191.347581782143,301.246835128477,169.689077145183,339.696899712876
"299",237.101739103487,188.522727213494,298.198713316056,166.975978309568,336.678576493638
"300",245.182949042154,194.494954435549,309.080915108921,172.053489258575,349.395288407446
"301",240.341813579042,190.215791672718,303.677138719645,168.062918766018,343.705725085521
"302",241.596574460017,190.77301024219,305.959971574144,168.351744816383,346.708047810706
"303",243.498754553559,191.840949098519,309.066670842445,169.091735316853,350.6477910232
