"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",190.143388459461,186.887784997137,193.455704851975,185.186997901153,195.232433079043
"252",185.948670610641,181.462142637272,190.546124934616,179.131105040702,193.025706473525
"253",192.064072638053,186.403993244693,197.896017977959,183.475564758152,201.054609353239
"254",193.812283853913,187.23225796008,200.623555908184,183.839920638294,204.325596106928
"255",195.027394603311,187.639562208928,202.706104181828,183.842649258771,206.892605165942
"256",195.210777157414,187.125016894335,203.645926936215,182.981143007109,208.257784885086
"257",196.837420378626,188.045828577848,206.040040102629,183.551925852901,211.084519441993
"258",196.038513016083,186.692689885612,205.852187405431,181.927040230382,211.244565606575
"259",195.838287205194,185.950206707222,206.252175862597,180.919504273357,211.987286221589
"260",197.690903873652,187.183954157501,208.787626323447,181.84988449324,214.911841067649
"261",198.163109429091,187.131580998151,209.844953637163,181.542651953119,216.305190632263
"262",199.886620058023,188.278999020335,212.209864542063,182.409697647417,219.038030288551
"263",202.529246791143,190.302716288018,215.541304958086,184.132061166483,222.76455032294
"264",199.059389571411,186.603192365168,212.347066919416,180.327971574081,219.736518026904
"265",200.402945228469,187.437082395208,214.265714889679,180.916477716635,221.988295168716
"266",200.68536819734,187.289944378885,215.038864697545,180.564661822194,223.048167908741
"267",202.343694296339,188.436528735229,217.277249248309,181.465726510728,225.623710927418
"268",201.153588939207,186.941901449893,216.445676594175,179.829761019521,225.005950704296
"269",200.825345766312,186.26249682417,216.526784456404,178.985865848993,225.329633213524
"270",203.183413445349,188.08139449418,219.498050885523,180.546699497901,228.658289595505
"271",204.842421829553,189.255780547984,221.712740606925,181.490700993207,231.198720107246
"272",203.087645632508,187.28539971519,220.223209450801,179.424182465699,229.871978468901
"273",206.007509609197,189.632520803869,223.79649774986,181.497783894831,233.827064466939
"274",206.403111343309,189.658522899196,224.626047492954,181.351574706617,234.91521615469
"275",207.344780730863,190.19169401409,226.044877086718,181.693511905686,236.617464462054
"276",205.364955813695,188.053793082912,224.26968573703,179.488579606754,234.971858202693
"277",205.114825763729,187.509936558353,224.372598702215,178.8106372821,235.288528622098
"278",204.602998210337,186.734288679086,224.181574646968,177.91581521972,235.293230255897
"279",208.006466476262,189.53369048077,228.279679386765,180.428452195825,239.799707692342
"280",208.990695850048,190.127986974331,229.724785114273,180.841930353275,241.520928617407
"281",208.566924742301,189.446011591121,229.617724496341,180.044174168229,241.608273621868
"282",210.553726009501,190.956637233745,232.161982839158,181.332078637837,244.484439099312
"283",210.615286942475,190.723354493372,232.581894397221,180.965388219256,245.123111830183
"284",211.082440195292,190.861418113028,233.445800619658,180.953416185673,246.227993358695
"285",211.426120608548,190.891326374276,234.169908736116,180.840975806891,247.184048173428
"286",212.692506129208,191.756597545673,235.914188833832,181.521370726598,249.216397950517
"287",212.868645434106,191.641286828404,236.447275839495,181.275003913142,249.968606982699
"288",212.651101812669,191.17566411564,236.538951290311,180.699629142063,250.252262922967
"289",210.642688334318,189.106716508995,234.631233452769,178.612420084057,248.416891321597
"290",209.360830576065,187.697847822726,233.524027515209,177.15283936208,247.424526399558
"291",212.684563141698,190.419113295439,237.553481979471,179.592175363067,251.874689458644
"292",212.000427480388,189.552343414001,237.106967090903,178.647877217061,251.579710612844
"293",211.006450093872,188.413880730523,236.308077773194,177.450437280925,250.907930481634
"294",210.776599361601,187.962386477731,236.359921104237,176.902563946414,251.136975334615
"295",208.371622434345,185.577341651879,233.965702113406,174.538213177719,248.76347846939
"296",208.877879428252,185.790223542028,234.8345767751,174.620055386185,249.856572419203
"297",211.873834863307,188.216536426905,238.504664637251,176.781946574182,253.931596351365
"298",212.780369452208,188.785168201726,239.825437853459,177.19846551739,255.507210471722
"299",213.759474112585,189.418846140207,241.227912132182,177.676589167895,257.170136971232
"300",212.816335204597,188.35178649084,240.458523774702,176.56092528354,256.516510984425
"301",213.927358895584,189.105163120156,242.007749174788,177.153149279993,258.335316476412
"302",216.194873834308,190.879756185083,244.867367846549,178.701717463703,261.554416687271
"303",215.020153507159,189.616475709935,243.827263644369,177.407075477959,260.607793063961
