"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",122.787867326184,120.721398669023,124.889709104913,119.641591671772,126.016882188218
"252",120.505674915342,117.647594451404,123.433188366638,116.162160853634,125.011600852532
"253",123.679747032051,120.096762262832,127.369627104813,118.242255300824,129.367287413416
"254",124.878123367312,120.710199616212,129.189958639148,118.560443531161,131.532450716945
"255",125.330967608958,120.663493025554,130.178988258455,118.263461193802,132.820833106319
"256",126.048419885408,120.915432184237,131.399308331457,118.283355544105,134.323245079767
"257",126.166447048106,120.626163947396,131.96119183301,117.792487522137,135.135717867838
"258",126.345817890712,120.423702413694,132.559167161579,117.401930068217,135.971066993511
"259",125.557977349595,119.324800679856,132.116756837649,116.15141058895,135.726338545399
"260",127.12056874234,120.477529462369,134.129900152238,117.102617929499,137.995540006669
"261",127.133362623547,120.174420559692,134.495276255083,116.646124311537,138.563471245754
"262",127.861653875627,120.560694076597,135.604747940681,116.866099792547,139.891744148487
"263",129.720269915393,122.019885221185,137.906607569902,118.130345895964,142.4472966645
"264",128.140970292213,120.256209752184,136.542705788477,116.280603906681,141.211068017908
"265",128.221777637226,120.064126980394,136.933692635227,115.957966424992,141.782619748554
"266",128.162171649027,119.7498744172,137.165423527453,115.522548479877,142.184728937621
"267",129.326041021155,120.585130018773,138.700558548152,116.199720347598,143.935156093094
"268",128.44220956207,119.518304743872,138.032423004499,115.048064400819,143.395730150756
"269",128.539638144046,119.373180974995,138.409971479802,114.788402036285,143.938222687163
"270",130.191828647644,120.675394840371,140.458726230303,115.922599752826,146.217495835657
"271",131.087058611521,121.277642711862,141.689898906153,116.385583025099,147.64558022375
"272",131.132547735107,121.097873486692,141.998736892682,116.10051769252,148.110838928741
"273",131.781223834868,121.479365205174,142.956714715167,116.356008004862,149.251347250501
"274",132.190531508468,121.643526522155,143.652006153477,116.405314870818,150.116312471501
"275",131.987090043786,121.248246102428,143.6770633656,115.921791196979,150.278836777329
"276",130.983260887393,120.124036401152,142.824160315432,114.744836968603,149.519708999103
"277",131.044891620408,119.982588962364,143.12713009711,114.509744361491,149.967705504541
"278",131.112074226791,119.849982722025,143.432444608042,114.285235695162,150.41641996438
"279",132.632925545209,121.047614269213,145.327052043809,115.330164072922,152.531586858387
"280",132.916870508162,121.11735958313,145.865914898497,115.301203866598,153.223850863897
"281",132.745896286481,120.775824759141,145.902319574658,114.882577287255,153.386818062412
"282",134.098479233166,121.822094262404,147.611993058614,115.785075673031,155.308462926854
"283",134.370045908678,121.88721617884,148.131279091718,115.755713403672,155.977693943594
"284",134.690748955071,121.999111623858,148.702704573876,115.772083318548,156.700970856343
"285",134.273519153262,121.445597893077,148.456413888915,115.158707547479,156.561134887417
"286",134.784757969153,121.734477626601,149.234065278754,115.345628061504,157.499952847075
"287",135.113959957527,121.860505965832,149.808849312696,115.379213158048,158.224186798684
"288",134.99035289442,121.58041400983,149.879366039063,115.029598403498,158.414839549731
"289",134.920987109712,121.351848067629,150.007379801205,114.730248784785,158.664981166441
"290",134.831105708336,121.107363026311,150.110006627615,114.41728809505,158.887064788934
"291",135.690168234304,121.716564526908,151.268003882771,114.911688423917,160.225839581534
"292",135.352093980194,121.253464860666,151.090027537565,114.394675918257,160.148968452992
"293",135.143329236749,120.908946545918,151.053499008498,113.991064995389,160.22062288769
"294",134.798688554115,120.445525971288,150.862278107705,113.47683802052,160.126830751341
"295",133.820975480936,119.41989732461,149.958707718457,112.434804539976,159.274999871612
"296",132.982988260161,118.522878961877,149.207269697612,111.515958706231,158.582460947933
"297",135.15904708187,120.312495592014,151.837661734047,113.125222733076,161.484482122817
"298",135.493727559497,120.461990348185,152.401186091176,113.191979859976,162.189496381967
"299",135.97181321449,120.739814588721,153.125413119221,113.379873955633,163.065395504592
"300",135.940250320891,120.566270222614,153.274639940221,113.144638507223,163.328566877933
"301",136.928534636534,121.297843327867,154.573429199636,113.759239459027,164.81671015796
"302",137.212667377952,121.405886341333,155.077456755592,113.789311824159,165.457684796149
"303",137.06084416965,121.129597066384,155.087406046613,113.459986516542,165.57092576208
