"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",1732.22845680438,1705.80956806654,1759.05651060684,1691.98774923776,1773.42621299396
"252",1694.27115241522,1657.84366592672,1731.4990532004,1638.87823814862,1751.53630763268
"253",1741.53371227621,1695.78621319066,1788.51534904745,1672.05742914846,1813.8968304092
"254",1757.39482514085,1704.19818210486,1812.25200441025,1676.69254741206,1841.98145104109
"255",1766.36759594207,1706.69603191034,1828.12546912753,1675.92819939548,1861.68744288663
"256",1771.36308421897,1705.91807035608,1839.31879886753,1672.25810462543,1876.34143763745
"257",1782.89631801726,1711.85389824645,1856.88701825293,1675.39948940112,1897.29034830718
"258",1785.89024958558,1709.92114193959,1865.23454522999,1671.02254918338,1908.6540664119
"259",1774.14545507249,1694.20264222855,1857.86045736183,1653.35212970508,1903.76389832686
"260",1792.49725057484,1707.46373227137,1881.7655289487,1664.09498321988,1930.80709077158
"261",1795.2126650259,1705.99865388299,1889.09206073174,1660.58055491964,1940.76011737074
"262",1810.18654737809,1716.33382513706,1909.17133270792,1668.63727525525,1963.74334009011
"263",1828.80136084067,1730.21806286981,1933.00167717897,1680.20097501341,1990.54426651907
"264",1802.26911648518,1701.55303175325,1908.94665497991,1650.53588862754,1967.95113067019
"265",1811.66635970084,1706.97640208825,1922.77701956304,1654.02847481338,1984.32799002568
"266",1807.84980208479,1700.05845695512,1922.47560283998,1645.6236778512,1986.06823108286
"267",1825.81966722689,1713.71148058809,1945.26178705911,1657.17894084601,2011.62190459084
"268",1814.80122172578,1700.24316182172,1937.07791234318,1642.55673507009,2005.10789311449
"269",1815.86418950429,1698.2020386602,1941.67871646506,1639.0338443538,2011.77221939799
"270",1840.72639850375,1718.45997072524,1971.69194038231,1657.05864881422,2044.75181163516
"271",1855.55976568655,1729.37024762313,1990.95714105582,1666.08142432604,2066.58689891313
"272",1857.12623595762,1727.96391777349,1995.94321432712,1663.26662904429,2073.5808655428
"273",1868.7153836368,1735.93234201079,2011.65512072655,1669.50425483748,2091.69708607948
"274",1872.90331170289,1737.06679093961,2019.36208399348,1669.19393205883,2101.47350024277
"275",1875.26152763682,1736.55574858834,2025.04630208011,1667.33194368722,2109.12158814519
"276",1856.03206005401,1716.13497344676,2007.33337485079,1646.39831851892,2092.35819133202
"277",1859.8395390536,1717.09023749635,2014.45622104905,1646.01348229586,2101.44275744479
"278",1859.84707673393,1714.58275983033,2017.41859878377,1642.33526276269,2106.16627875179
"279",1883.7707295896,1734.13978024286,2046.31264566319,1659.80292827931,2137.9599356035
"280",1889.34086845804,1736.80837402707,2055.2692919997,1661.11250929557,2148.92663636586
"281",1886.61079445337,1731.8871431485,2055.15717570218,1655.18609409495,2150.39281833394
"282",1903.95028554302,1745.41311964093,2076.88749959957,1666.90439910232,2174.70581502547
"283",1907.07828484273,1745.9255978084,2083.10571142552,1666.20443528894,2182.77391866863
"284",1911.08322736894,1747.27070953223,2090.25372084938,1666.31655290534,2191.80388958084
"285",1902.74921565095,1737.37653156781,2083.86294615895,1655.73365920704,2186.61652345355
"286",1914.705799971,1746.04051264838,2099.66393900099,1662.85478725745,2204.70141381925
"287",1915.92656733878,1744.93283251903,2103.67673931342,1660.68130145754,2210.40280769876
"288",1916.33206454109,1743.11334718205,2106.76407677393,1657.84799329237,2215.11778911366
"289",1908.05157699282,1733.4331760015,2100.26026435163,1647.56081321264,2209.72773282082
"290",1880.71733804795,1706.51263187124,2072.70525841677,1620.92438030646,2182.14850033005
"291",1906.46109212037,1727.78423742344,2103.61561185955,1640.08042340259,2216.10711517932
"292",1903.60980687032,1723.14345216048,2102.97656429557,1634.64265168698,2216.83332015905
"293",1909.39455484477,1726.34364840111,2111.85505820206,1636.65689629467,2227.58207558639
"294",1898.1256071029,1714.15665648611,2101.83871276116,1624.10101368957,2218.38468788026
"295",1883.24662170309,1698.76172131417,2087.766514666,1608.53366864856,2204.87634625383
"296",1876.32959488412,1690.595211477,2082.46937216994,1599.83580372588,2200.60880025239
"297",1904.33694813454,1713.8976584452,2115.93684964844,1620.92000637942,2237.3091810562
"298",1910.93389424968,1717.91835762044,2125.63555886925,1623.76389082872,2248.89121430614
"299",1923.64316995457,1727.43675322685,2142.13518289485,1631.80715276938,2267.67178893218
"300",1925.59801738582,1727.30456147922,2146.65543486137,1630.73912396942,2273.7712427814
"301",1930.202990194,1729.56402476594,2154.11718213672,1631.93781788861,2282.98133820694
"302",1944.18778158742,1740.23067699692,2172.04890135408,1641.07187223964,2303.29103436236
"303",1942.71047039786,1737.0650953108,2172.70151935106,1637.16725382294,2305.27697337004
