"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",156.46906505846,154.094050489603,158.880685156112,152.851421639463,160.172329819848
"252",150.49229836239,147.27200404531,153.78300861192,145.595271962949,155.554033871086
"253",157.581674273706,153.461825938768,161.812124383379,151.324691538564,164.097371119214
"254",159.207439981446,154.410961097732,164.152912236604,151.930633487781,166.832773375385
"255",161.484031719995,156.054480345144,167.102491661053,153.254543066788,170.155428861774
"256",162.314747410525,156.346066523946,168.511289172135,153.275803426309,171.886733835385
"257",163.315387699298,156.838397066651,170.059860073916,153.514324137555,173.742196431604
"258",163.632588086033,156.7045630858,170.866906211741,153.156627131452,174.825108029782
"259",162.207588489362,154.932781715086,169.823980904954,151.214748749028,173.999573330001
"260",164.697638138418,156.921183011809,172.859466693748,152.95433001075,177.342557131052
"261",165.1471602982,156.978452695269,173.740943972122,152.819052247173,178.469792565172
"262",166.799623436663,158.19194560379,175.875669727814,153.816611400584,180.878476812594
"263",169.601234280607,160.501359108179,179.217041085102,155.883516550874,184.526108378608
"264",166.716925793919,157.443704062561,176.536327772948,152.745412839062,181.966402981021
"265",167.360349926095,157.734187246169,177.573975663701,152.864597567458,183.230696793773
"266",167.383768797621,157.4500766392,177.944188119373,152.432411896517,183.801631872858
"267",169.015579534051,158.685969537437,180.017592030981,153.475864178675,186.128719835547
"268",167.556396852825,157.028606921087,178.790009519795,151.725998390077,185.038466869218
"269",166.792659552298,156.035148944058,178.291823789669,150.624235861313,184.696646734485
"270",169.675375486626,158.45725749345,181.687689803147,152.822171551239,188.38714797921
"271",172.281989241416,160.619986464813,184.790725427445,154.769531304158,191.776014095753
"272",172.625018581678,160.674554880396,185.464319863883,154.686986983958,192.643205620232
"273",174.258816196503,161.933942696642,187.521741992616,155.766435595392,194.946587216541
"274",175.110175790751,162.46856414014,188.735426005356,156.150229186124,196.372261669359
"275",175.027691006392,162.141311407325,188.938231429928,155.708290831217,196.744132605221
"276",172.729944524374,159.770576639079,186.74047727068,153.308652991187,194.611544444973
"277",173.238109381612,160.002728212033,187.56831759984,153.410715695424,195.628072042236
"278",173.446649985189,159.961877826042,188.068187245218,153.253186579124,196.30091264401
"279",176.40131546349,162.453934889298,191.54613963924,155.522741132411,200.082790919667
"280",177.161684240124,162.924610598984,192.642856394791,155.857116574647,201.378435919961
"281",176.668060263973,162.245820311838,192.372311702365,155.094034540396,201.243094938672
"282",179.206089724582,164.352551440272,195.402032478005,156.994613490859,204.560028400241
"283",179.776467628475,164.65461831363,196.287104752876,157.171501139502,205.632561110974
"284",180.057825623533,164.694548635803,196.854242212767,157.099690969961,206.371001547508
"285",179.456827229105,163.931244669656,196.452804979514,156.263842740867,206.092159736159
"286",180.938914199031,165.073090078207,198.329665095708,157.24539966335,208.20253401127
"287",181.172952423449,165.077507657755,198.837740862193,157.144268471171,208.875824802043
"288",181.139257236984,164.840811826559,199.049192665281,156.815240603399,209.236234859017
"289",180.684707422915,164.224621798483,198.794572573684,156.127149181256,209.104974168221
"290",180.22253293926,163.605347251926,198.52750490501,155.438250268346,208.958614259807
"291",181.854577307262,164.888640922363,200.566194873147,156.557855723289,211.23875984898
"292",180.920406005496,163.846994320412,199.772925008218,155.471101419701,210.535546543994
"293",180.788322917089,163.535418633887,199.861399910838,155.079118614118,210.759630279446
"294",179.273148476678,161.976911223607,198.416314534938,153.506945067851,209.364219648403
"295",177.132527429642,159.859442347388,196.271998781468,151.408285223873,207.227314061581
"296",176.671494673617,159.262697231251,195.983225029077,150.752581498848,207.046650345078
"297",179.88432537545,161.977181512006,199.771166615726,153.23101949905,211.17375986643
"298",180.81336619548,162.633172819754,201.025859780618,153.761242212015,212.624930213955
"299",182.51228836067,163.981099941074,203.137650708639,154.945537912488,214.983508731062
"300",182.581854642235,163.865385079703,203.436092548674,154.74712875174,215.423277404257
"301",183.337944028691,164.366984219805,204.49849998901,155.13241321054,216.671687270469
"302",184.668117374008,165.383178089646,206.201827588384,156.003482564243,218.59969414732
"303",184.579001353835,165.128986070217,206.319971747976,155.676700307426,218.847185696381
