"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",153.465714156223,151.167069969957,155.79931149132,149.964211252946,157.048973383087
"252",149.590792124052,146.431957030803,152.817769713985,144.786862445506,154.55411292391
"253",154.153995501757,150.176725732449,158.236599001979,148.112994945512,160.441386914752
"254",155.407456637076,150.786865785467,160.169637140455,148.396746284719,162.749374114085
"255",156.523973278118,151.330091767817,161.896116790562,148.650750513593,164.814197884112
"256",157.240404086056,151.533892960439,163.161812807126,148.597365587597,166.386157516173
"257",157.45475648418,151.291692848801,163.868880522536,148.127423578555,167.369415740528
"258",157.756935759636,151.164729610316,164.63662419419,147.787278678894,168.399141000113
"259",156.618195998013,149.685491982606,163.871989147235,146.140640372687,167.846940146956
"260",158.655420860654,151.261642532826,166.410612412916,147.488132174461,170.668257827661
"261",158.541088351409,150.800962881402,166.678489416656,146.857746697612,171.153904106974
"262",159.201465405884,151.092446104484,167.74568974715,146.968349591173,172.452821698579
"263",160.446123830421,151.948996338641,169.418418499026,147.634593160184,174.369421835135
"264",159.605141338669,150.842395533373,168.876933117259,146.400138392292,174.00120943518
"265",159.904616357717,150.826208190976,169.529464667921,146.230927643904,174.856897542047
"266",159.483588092647,150.14100563656,169.407516374804,145.418965127147,174.908512439667
"267",161.346433988359,151.612789595743,171.704984982949,146.700111709756,177.455023430829
"268",160.131572138287,150.200016992349,170.719823532281,145.194395441483,176.605442086873
"269",159.706404220547,149.538620413479,170.565540049329,144.420842690554,176.609795884572
"270",161.763900827276,151.206504777258,173.058425293304,145.899598291216,179.353198482604
"271",161.054274513905,150.292489575922,172.586663594371,144.889769653284,179.022158716037
"272",162.269291856168,151.180076772856,174.171912341759,145.619939600935,180.822235963441
"273",163.443001374019,152.031519699887,175.711028547769,146.316793335367,182.573811858481
"274",164.052758699718,152.361344538714,176.641310947144,146.513436718954,183.691736674048
"275",164.6681505063,152.699902862981,177.574440341959,146.720541894819,184.81120258269
"276",163.19516845861,151.108000653871,176.249191922266,145.076164753167,183.577109675782
"277",163.332796203598,151.013903633871,176.656597000268,144.873359588649,184.144292583771
"278",163.100534773414,150.582318813248,176.659415614162,144.349323879608,184.287558323172
"279",164.987310465609,152.109122405083,178.955819245235,145.703863210672,186.822861212109
"280",165.692148851287,152.546857732421,179.970198003773,146.015735801059,188.020065374063
"281",165.89438600537,152.524503066031,180.436236505451,145.888776935002,188.643347941427
"282",166.237485150159,152.634595229446,181.052673068692,145.89020703347,189.422594093031
"283",167.544199512413,153.630894883021,182.717537456442,146.739627180307,191.298419722456
"284",167.113833898685,153.036616923903,182.485956901438,146.071158663367,191.187868542053
"285",167.323754302864,153.032125909181,182.950073964341,145.967568004448,191.80451614534
"286",168.540961134999,153.950268242896,184.514492274165,146.744909187691,193.574385220936
"287",168.298978792077,153.537344440311,184.479849939487,146.254577809427,193.66604920472
"288",168.326652758554,153.373480772017,184.737686634471,146.003216062837,194.063273350805
"289",168.30856311426,153.170608501522,184.94261199795,145.716252765778,194.403656969689
"290",167.090616940872,151.879743748469,183.824870786711,144.396405694682,193.351587495293
"291",168.912369926598,153.353712626379,186.049546669482,145.706263600808,195.814428351463
"292",167.643736380495,152.02375639182,184.868621948649,144.353092038079,194.692208880425
"293",167.324645449243,151.558867230774,184.73044491738,143.823506805739,194.665931853067
"294",166.968584753331,151.063424199902,184.548367297953,143.266554473906,194.591880825946
"295",165.415511930322,149.489100445476,183.038706538678,141.688616891413,193.115665799324
"296",166.078982347533,149.920884408567,183.978559667675,142.013745766062,194.222243972271
"297",167.990334771375,151.478562148457,186.301957031654,143.405238596322,196.790248758195
"298",168.729449978608,151.978541836514,187.326624838321,143.795204662556,197.987320626535
"299",169.482908664862,152.49188155443,188.367118542302,144.198170141357,199.201254089033
"300",169.625525943228,152.456600336458,188.727932985636,144.082980164235,199.696168268589
"301",168.51793205319,151.300369820264,187.69480509016,142.909901613146,198.714666394195
"302",170.367933096293,152.800602624084,189.954961754372,144.246624353632,201.219493056179
"303",170.344138439341,152.620235979839,190.126330983229,143.99694777092,201.512087233986
