"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",364.069171640665,356.365736881535,371.939128882028,352.353987464143,376.173866210635
"252",355.028157245956,344.451145774467,365.929955477601,338.98017348769,371.835883912063
"253",367.621661396201,354.253270193344,381.494533145575,347.374396508425,389.049070069922
"254",370.626249167969,355.10782850243,386.822833930784,347.15765363692,395.6813716571
"255",374.397764799009,356.914941005499,392.736952652073,347.993024694789,402.806022935188
"256",376.23378650224,357.031899976719,396.46838872113,347.266979538859,407.616820619634
"257",377.747553251069,356.966957158794,399.737878045931,346.433208908549,411.892423468089
"258",377.835549076208,355.657922631019,401.396097378174,344.449703530925,414.457323325589
"259",375.298709432262,351.976103504142,400.16671557893,340.222417251698,413.991301453016
"260",380.005576809634,355.155749208256,406.594117449433,342.665765008933,421.414255966476
"261",381.007121012945,354.918307058401,409.013633209645,341.838821594793,424.663370840452
"262",384.317087287364,356.874275078478,413.870188734012,343.149300524816,430.42379324437
"263",390.087785829752,361.13877619354,421.357358125423,346.694158144392,438.912733540156
"264",384.19486973111,354.649361637689,416.201786593089,339.940089465044,434.210916870642
"265",385.042415135022,354.434870870811,418.293101603566,339.229762246123,437.042022702728
"266",385.178830601293,353.59861446133,419.579504770952,337.943073999547,439.016932016125
"267",388.903623080514,356.079304328234,424.753773125022,339.839963683614,445.050742136843
"268",385.586225189812,352.140532775219,422.208531021428,335.626318129963,442.982951648497
"269",384.974688263451,350.708974810989,422.588303260317,333.822233570148,443.965367490713
"270",391.908503910651,356.162056074061,431.242668381122,338.578417188715,453.638707135536
"271",395.953894586881,358.989562069803,436.724359712817,340.839906239833,459.979843229391
"272",396.006259511535,358.209944419989,437.790630928019,339.684735610569,461.666189652114
"273",399.120389560687,360.213847904804,442.229209925248,341.177588095345,466.903720881448
"274",401.115081499643,361.216388825052,445.420843527647,341.727857520988,470.82292258419
"275",400.593065332845,359.967761467864,445.803266765851,340.157343976719,471.766395270736
"276",396.164414587302,355.235167314497,441.809420423604,335.309102635441,468.064368523681
"277",396.674994498299,354.954877379353,443.298743834583,334.676300727307,470.158929443989
"278",396.894292411677,354.42762784569,444.449210425404,333.818627106448,471.888224795599
"279",402.806208019321,358.98717939081,451.973915877003,337.754717601906,480.386602357228
"280",404.262256094903,359.576186189851,454.501654947342,337.956471327135,483.576985702239
"281",403.251588925578,357.983403502705,454.244086122207,336.114757567731,483.798584589775
"282",408.482981661007,361.937272526103,461.014543050779,339.484511460858,491.505033878123
"283",409.188135678556,361.882633662445,462.677439603999,339.096383160649,493.767963018257
"284",410.194954611543,362.103433943596,464.673584992778,338.971592908674,496.383485545052
"285",408.454368260044,359.911073894771,463.544978333982,336.594734323051,495.655320592717
"286",411.463787878103,361.912710758233,467.799123109812,338.145279942109,500.679615471732
"287",412.161128085862,361.884974097514,469.422075145997,337.802704019775,502.887613046062
"288",411.780133767605,360.919656583064,469.807824187161,336.590338723135,503.766326772504
"289",411.568728472474,360.113210082669,470.376574682066,335.532005091787,504.836545205611
"290",410.670754565423,358.716649494424,470.149542523412,333.929871350036,505.04756574637
"291",413.726021563618,360.778667363485,474.443852708193,335.5508025532,510.11417530948
"292",412.041745793896,358.714004927342,473.297384391977,333.337476847362,509.328869596696
"293",411.236498640193,357.426213512961,473.147887368683,331.852510316094,509.610301434095
"294",408.393886457989,354.380526774217,470.639761203706,328.742468692376,507.344144368313
"295",404.474059465297,350.416960022251,466.870281535313,324.789924719228,503.707942670216
"296",403.5290657189,349.04448921924,466.518486638214,323.246444956474,503.75095974186
"297",410.312147772213,354.355601529377,475.10483221609,327.89270534825,513.448624697636
"298",412.162125051034,355.401436480184,477.987987355971,328.590443032935,516.988917141322
"299",415.435271803582,357.674203979464,482.524216558892,330.423069685209,522.319658923748
"300",415.081999212496,356.827302667511,482.847205867495,329.375579442608,523.089982450456
"301",417.602306637186,358.454105769144,486.510500792009,330.613766341536,527.4785996919
"302",419.265798536669,359.346133308225,489.176850754684,331.175178924509,530.787996834327
"303",419.459564648035,358.982025543879,490.125727348464,330.581248391254,532.233232317158
