"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",186.392836382229,183.975860909105,188.841564773421,182.709104197039,190.150838992376
"252",182.162890171355,178.831334643182,185.556511233285,177.092451515375,187.378503553552
"253",187.654516438735,183.459882450264,191.945056704166,181.277466535129,194.255900708054
"254",189.208787329189,184.333621584959,194.212889079936,181.803920625932,196.91525396882
"255",190.720067482636,185.234349170218,196.36824543355,182.394548584292,199.425610156169
"256",191.883785903923,185.846187551151,198.117528145088,182.727360723062,201.499037402642
"257",192.487244727456,185.953711089453,199.250335826555,182.585321961311,202.926166160381
"258",192.929809015166,185.937399929124,200.185176413227,182.339020757118,204.135741499946
"259",191.523226962171,184.16891549796,199.1712139197,180.390791469319,203.342677124637
"260",193.608195440612,185.77991801791,201.766335897278,181.764832623037,206.223243522079
"261",193.437841462511,185.242899450208,201.995318690924,181.04624486853,206.67757310762
"262",195.224601150611,186.594450482211,204.253903564236,182.181447116507,209.201570728778
"263",197.309213498246,188.239064112481,206.81640080846,183.607635370269,212.03326132264
"264",194.725768513173,185.444653060141,204.471384304344,180.711957711619,209.826319205483
"265",192.195886073314,182.721887217333,202.161104977917,177.897187940386,207.643859080475
"266",194.605127267329,184.705907306821,205.034890929743,179.67107371332,210.780482222531
"267",196.332441920342,186.046183953856,207.187414066847,180.820950041679,213.174567114704
"268",195.281998601642,184.762291589473,206.400660274256,179.424868570175,212.540542912181
"269",195.249909021169,184.451832368276,206.680120675947,178.979553205206,212.999341489394
"270",197.869202591868,186.650203458367,209.762543029184,180.971059119315,216.345207487173
"271",199.708279569385,188.113654585053,212.017554050182,182.250861359332,218.837906340142
"272",199.938995001193,188.066082220623,212.561463768843,182.069062244516,219.562847357343
"273",201.023590406979,188.826290840757,214.008778757363,182.6719327289,221.218899348294
"274",202.610476179226,190.060843724321,215.988755248905,183.735257717849,223.424755637333
"275",202.113761945385,189.345077626044,215.743515912225,182.915598141136,223.326896026639
"276",200.315929729817,187.418449711691,214.100969062801,180.930565230684,221.778291867713
"277",200.488995430389,187.342714337689,214.557782141624,180.73611580843,222.400692351338
"278",200.832042188309,187.429865027171,215.192542360738,180.701108077501,223.205654899627
"279",203.023508002914,189.243600982957,217.806808725444,182.331698927103,226.063515254627
"280",203.735715503066,189.679418604049,218.833661959887,182.635392564143,227.273811438101
"281",203.085947868635,188.851182097336,218.39366724453,181.72419953671,226.958777789913
"282",205.350630030143,190.735212795154,221.085979016708,183.424188809011,229.898147717501
"283",205.894429437179,191.021508947908,221.925354410334,183.588222736854,230.910869124893
"284",206.482674578408,191.351382861899,222.810487509376,183.795522396918,231.970258823714
"285",205.66997802268,190.386589046808,222.180249520883,182.761298699762,231.45020395888
"286",207.156511189907,191.552731207271,224.031366495833,183.77414687358,233.513912911236
"287",206.620288641513,190.850628885481,223.692968305172,182.995883426227,233.29455766426
"288",206.680288452094,190.702707695632,223.996513478026,182.750921836183,233.742961214344
"289",206.988171033992,190.786019606874,224.566260338573,182.728992391895,234.468008536436
"290",205.920219231287,189.604679476834,223.639716093834,181.497747504232,233.628996895803
"291",207.262046125672,190.644588839571,225.327957251119,182.394153261693,235.520464861426
"292",206.798609653171,190.025707092917,225.051997483548,181.704585230077,235.358204639328
"293",206.703019504466,189.747827228608,225.173267574691,181.342749943438,235.609850879564
"294",205.579403800357,188.529739570318,224.170952356019,180.08426613847,234.683974192469
"295",203.755827124119,186.674687905232,222.399927665129,178.219993927025,232.95050219805
"296",203.506425551943,186.265897042944,222.342714895257,177.73866430657,233.009882247651
"297",206.356654637759,188.693990648172,225.672628826242,179.964403527723,236.619398495256
"298",206.989716923972,189.093729965118,226.579394886173,180.255272635283,237.689263042836
"299",208.294601864046,190.107566257345,228.221538047411,181.131845982019,239.530718248233
"300",208.241487397516,189.882877900597,228.375078116476,180.828952460152,239.809590685352
"301",207.76426775617,189.273832360274,228.061060622966,180.161342254464,239.596299717222
"302",210.065472725581,191.196287304269,230.796860407637,181.903652660382,242.587227832136
"303",210.216594279218,191.161581792337,231.171013003853,181.783940500986,243.096372476938
