"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"251",91.6578791350765,90.286469497053,93.0501198500681,89.5688149293696,93.7956677685768
"252",90.4834725645295,88.5748071344304,92.4332671129628,87.5807728845269,93.482376755577
"253",91.9214791894624,89.5523604222216,94.3532732866088,88.323042634884,95.6665223967446
"254",92.2885342294144,89.5475034750925,95.1134673741387,88.1295995769489,96.6437336728979
"255",93.1640120820919,90.0758457936751,96.3580532689443,88.4827248962685,98.09296851343
"256",91.852071195502,88.522122567494,95.3072829503258,86.808504088367,97.1886691460009
"257",93.1431055125805,89.501152607528,96.9332556260063,87.6312224421382,99.0016784286688
"258",92.4093281477814,88.5518674581627,96.4348259821728,86.5754665404326,98.6363027536933
"259",92.4804194026973,88.39107013142,96.7589594761408,86.3000134478135,99.1034373137225
"260",92.0807880663419,87.7940685020236,96.5768152175696,85.6061997153873,99.0450640153173
"261",92.8834310521112,88.3535219816262,97.6455897910489,86.0456591816886,100.264578667418
"262",92.4796220986972,87.7740449421036,97.4374658153116,85.3807727180343,100.168694089499
"263",93.1058211289029,88.1801455128281,98.3066412248796,85.6790292310368,101.176378932957
"264",92.9551201874313,87.8569633550946,98.3491124560789,85.2723422064229,101.330093034655
"265",93.0735471775781,87.7949082009738,98.6695625261873,85.1228542614482,101.76685520448
"266",92.6329506942768,87.2121446437695,98.3906953484299,84.4721591567322,101.582150142595
"267",93.7984271161757,88.145680561532,99.813682002566,85.2925304556345,103.152584200148
"268",93.6890753705716,87.8844057140998,99.8771371606874,84.9586288238557,103.316672659481
"269",93.0829126679333,87.1629004691383,99.4050058466549,84.1830031983575,102.923729275022
"270",95.4382804097915,89.216038902444,102.094483005886,86.0881186291792,105.803977512998
"271",94.8360073618196,88.5055549336351,101.619252024068,85.3273076401207,105.404337029641
"272",94.0537527024729,87.6329341122966,100.94502126429,84.4133448048434,104.795141311713
"273",93.4628128139119,86.9440568533697,100.470321896991,83.6793508564337,104.390118824837
"274",94.4859841048524,87.7592940111346,101.72827041122,84.3944773555628,105.784187212269
"275",94.3490981040396,87.4987982783521,101.735709383429,84.0761612233721,105.877244911262
"276",94.0657115211869,87.1058626886254,101.581659498823,83.6324820839351,105.800495973643
"277",94.2985223677492,87.1936758807318,101.98229666225,83.6519249864132,106.300139801746
"278",93.9828663160393,86.7769766559661,101.787127200764,83.1888266401921,106.177470192987
"279",94.6108977818993,87.2335956307952,102.612094736779,83.5640805471086,107.118057429601
"280",94.657933922066,87.1559211024096,102.80568825457,83.4283576302497,107.399027248085
"281",94.5423521283775,86.9307666169293,102.82040172674,83.1527302408842,107.49203688289
"282",95.3495893268844,87.5553422767143,103.837686523709,83.6906387400512,108.632749393208
"283",95.2201488479056,87.3209477551996,103.833925074152,83.4081885968577,108.704875374297
"284",97.9753242420365,89.7306248993507,106.977569487557,85.6508208624343,112.073230164946
"285",100.831785261911,92.2282771214072,110.237871035154,87.9751251296943,115.567314102887
"286",97.3512697171829,88.9321563144357,106.567411702457,84.774212817251,111.794252056082
"287",97.3369008051624,88.8081574029791,106.6847070744,84.6001163975358,111.991243768903
"288",96.0053027440799,87.485480923935,105.354832112042,83.2858252886664,110.667308909247
"289",96.2584231832835,87.6096431049023,105.761006498309,83.3504079351421,111.165431139126
"290",98.2797411491941,89.3421294476874,108.111454025821,84.9447191784676,113.708157655562
"291",96.7153096321523,87.8158927916565,106.516609008749,83.4412687129855,112.101017416426
"292",95.9645664744095,87.0323348902235,105.813523562676,82.6455370706605,111.430070455561
"293",96.0868818634629,87.0425646104558,106.070965481801,82.6046750914983,111.769568199576
"294",94.8413036018416,85.8160949253597,104.815686110166,81.3914803665651,110.513690479473
"295",94.7369120670109,85.6248299530296,104.818690009848,81.1615143297415,110.582984831071
"296",94.0086800854934,84.8717464781404,104.129257357663,80.4001112092271,109.920643124712
"297",95.2439121360888,85.8919264874075,105.614149897045,81.3189425363755,111.553378782922
"298",94.8715795455032,85.4626320284163,105.316398428567,80.8656720964945,111.303305495545
"299",95.4347624083295,85.8769607709661,106.056313523074,81.2111698228928,112.149521990593
"300",97.4573578396422,87.6030873724017,108.420112600692,82.7965427129892,114.714169044573
"301",98.9327187314691,88.834991003219,110.178238609213,83.9137238534246,116.63983417893
"302",96.2746373541994,86.3574568850139,107.330694210045,81.5280953427264,113.688486879505
"303",96.5530565648034,86.5171449858968,107.753124927155,81.6338845647855,114.198813173073
