"","A","AAL","AAP","AAPL","ABC","ABMD","ABT","ACN","ADBE","ADI","ADM","ADP","ADS","ADSK","AEE","AEP","AES","AFL","AGN","AIG","AIV","AIZ","AJG","AKAM","ALB","ALGN","ALK","ALL","ALXN","AMAT","AMD","AME","AMG","AMGN","AMP","AMT","AMZN","ANSS","ANTM","AON","AOS","APA","APC","APD","APH","ARE","ARNC","ATO","ATVI","AVB","AVGO","AVY","AWK","AXP","AZO","BA","BAC","BAX","BBT","BBY","BDX","BEN","BHGE","BIIB","BK","BKNG","BLK","BLL","BMY","BR","BSX","BWA","BXP","C","CAG","CAH","CAT","CB","CBRE","CBS","CCI","CCL","CDNS","CE","CELG","CERN","CF","CHD","CHRW","CI","CINF","CL","CLX","CMA","CMCSA","CME","CMG","CMI","CMS","CNC","CNP","COF","COG","COO","COP","COST","CPB","CPRT","CRM","CSCO","CSX","CTAS","CTL","CTSH","CTXS","CVS","CVX","CXO","D","DAL","DE","DFS","DG","DHI","DHR","DIS","DISCA","DISCK","DISH","DLR","DLTR","DOV","DRE","DRI","DTE","DUK","DVA","DVN","DWDP","DXC","EA","EBAY","ECL","ED","EFX","EIX","EL","EMN","EMR","EOG","EQIX","EQR","ES","ESS","ETFC","ETN","ETR","EW","EXC","EXPD","EXPE","EXR","F","FAST","FCX","FDX","FE","FFIV","FIS","FISV","FITB","FL","FLIR","FLR","FLS","FMC","FOX","FOXA","FRT","FTI","FTNT","GD","GE","GILD","GIS","GLW","GOOG","GOOGL","GPC","GPN","GPS","GRMN","GS","GWW","HAL","HAS","HBAN","HBI","HCP","HD","HES","HFC","HIG","HOG","HOLX","HON","HP","HPQ","HRB","HRL","HRS","HSIC","HST","HSY","HUM","IBM","ICE","IDXX","IFF","ILMN","INCY","INTC","INTU","IP","IPG","IPGP","IR","IRM","ISRG","IT","ITW","IVZ","JBHT","JCI","JEC","JKHY","JNJ","JNPR","JPM","JWN","K","KEY","KIM","KLAC","KMB","KMX","KO","KR","KSS","KSU","L","LB","LEG","LEN","LH","LKQ","LLL","LLY","LMT","LNC","LNT","LOW","LRCX","LUV","M","MA","MAA","MAC","MAR","MAS","MAT","MCD","MCHP","MCK","MCO","MDLZ","MDT","MET","MGM","MHK","MKC","MLM","MMC","MMM","MNST","MO","MOS","MRK","MRO","MS","MSCI","MSFT","MSI","MTB","MTD","MU","MXIM","MYL","NBL","NDAQ","NEE","NEM","NFLX","NI","NKE","NKTR","NOC","NOV","NRG","NSC","NTAP","NTRS","NUE","NVDA","NWL","O","OKE","OMC","ORCL","ORLY","OXY","PAYX","PBCT","PCAR","PEG","PEP","PFE","PFG","PG","PGR","PH","PHM","PKG","PKI","PLD","PM","PNC","PNR","PNW","PPL","PRGO","PRU","PSA","PVH","PWR","PXD","QCOM","RCL","RE","REG","REGN","RF","RHI","RHT","RJF","RL","RMD","ROK","ROL","ROP","ROST","RSG","RTN","SBAC","SBUX","SCHW","SEE","SHW","SIVB","SJM","SLB","SLG","SNA","SNPS","SO","SPG","SPGI","SRE","STI","STT","STX","STZ","SWK","SWKS","SYK","SYMC","SYY","T","TAP","TDG","TEL","TFX","TGT","TIF","TJX","TMK","TMO","TPR","TROW","TRV","TSCO","TSN","TSS","TTWO","TXN","TXT","UAA","UAL","UDR","UHS","ULTA","UNH","UNM","UNP","UPS","URI","USB","UTX","V","VAR","VFC","VIAB","VLO","VMC","VNO","VRSK","VRSN","VRTX","VTR","VZ","WAB","WAT","WBA","WCG","WDC","WEC","WELL","WFC","WHR","WLTW","WM","WMB","WMT","WU","WY","WYNN","XEC","XEL","XLNX","XOM","XRAY","XRX","YUM","ZBH","ZION"
"A",1,0.344902122553064,0.255328883222081,0.345598139953499,0.2864006600165,0.346550043707383,0.532769315017723,0.458516462911573,0.490684003126635,0.423481587039676,0.254796575403334,0.331194779869497,0.394583364584115,0.585689642241056,0.0643427050817571,0.0835955898897472,0.311377151195234,0.4367593327681,0.333263456560234,0.341410035250881,0.0823010575264382,0.351697819992626,0.410656420406697,0.383539482314391,0.429799744993625,0.471763294082352,0.254307357683942,0.191410785269632,0.293623340583515,0.423039710552806,0.244194270586996,0.453907528550017,0.49113627840696,0.560049501237531,0.459128478211955,0.195779628665701,0.308499212480312,0.377793444836121,0.236846921173029,0.42187595510239,0.501852546313658,0.319972999324983,0.331862296557414,0.41287797677869,0.457781444536113,0.0783049869890504,0.360809123264831,0.189940748518713,0.266874922655903,0.0557818945473637,0.354151353783845,0.416077401935048,0.0553934056076712,0.394581864546614,0.257022425560639,0.313557338933473,0.405259170934454,0.480756018900473,0.413441836045901,0.309007091054957,0.568970224255607,0.469957953886307,0.346135672595713,0.389262731568289,0.446282324414013,0.325722643066077,0.488632715817896,0.351894679327513,0.244317107927698,0.313427305823957,0.502436112171952,0.407144081281091,0.197635940898523,0.450525763144079,0.0638433354963444,0.394547363684092,0.45660841521038,0.27417535438386,0.417054551946096,0.30166354158854,0.0891023946270122,0.312402310057751,0.4115050005684,0.426981334651397,0.38304146967732,0.357063810494216,0.241629040726018,0.0808340208505213,0.309432235805895,0.228776719417985,0.359424870406112,0.217277757860828,0.0200165004125103,0.46841671041776,0.317715442886072,0.272393309832746,0.171349283732093,0.458997974949374,-0.020870029577002,0.3638400960024,0.259476142550285,0.382857571439286,0.234419860496512,0.466808670216755,0.295757254840362,0.15961599039976,0.0472602523967417,0.347607570542127,0.371342672820349,0.354349406022211,0.289547847276645,0.35691142278557,0.22834205106461,0.385307132678317,0.509912247806195,0.157289432235806,0.291137887623919,0.325703142578565,0.082055832166747,0.414184509931969,0.396910518129177,0.379653491337283,0.231639627855573,0.399626640526031,0.590165754143854,0.404324759740807,0.320130503262582,0.335745269536238,0.351962799069977,0.139228980724518,0.233518337958449,0.436908422710568,0.19151725612246,0.151674848749298,-0.00389559738993475,0.00446711837864206,0.286158511272244,0.273741370066314,0.263139677169327,0.416334532865589,0.342971574289357,0.333194454809314,0.450014250356259,-0.0590857493008927,0.418330458261457,0.0315817895447386,0.356344408610215,0.412745818645466,0.441239196444641,0.344485112127803,0.216446411160279,0.106710457777874,-0.00155403885097127,0.00767569477075535,0.396573888662536,0.504732618315458,0.10996774919373,0.481534538363459,0.177819762176478,0.337498064013398,0.316327908197705,0.0412375309382735,0.431283692727934,0.399662489042135,0.385887936614476,0.430369170617735,0.140292507312683,0.393249831245781,0.442376059401485,0.408694217355434,0.325325621129326,0.272880174334443,0.398639615480271,0.346949673741844,0.445398801994632,0.387213680342009,0.324156358489089,0.319441355824427,0.103475586889672,0.375393947940043,0.341574070256922,0.353354833870847,0.333640716133195,0.342830570764269,0.138401011925687,0.414582020018787,0.453857346433661,0.425970149253731,0.379701492537314,0.462781069526738,0.276716521681757,0.371541288532213,0.411482787069677,0.321515037875947,0.382356558913973,0.342419560489012,0.429648463587151,0.321632523262228,0.0434215855396385,0.401377034425861,0.323333083327083,0.213743423739392,0.208071779821428,0.277512937823446,0.600064726642481,0.438099452486312,0.288248706217655,0.37337948466281,0.234384117490411,0.110063792868752,0.386184654616365,0.469444236105903,0.239289161695981,0.156213905347634,0.0975864396609915,0.435063376584415,0.332372309307733,0.401240531013275,0.319092477311933,0.445331133278332,0.379384984624616,0.368482712067802,0.324678616965424,0.353509337733443,0.384827006888548,0.423346583664592,0.49177529438236,0.238684467111678,0.393533338333458,0.423544747447996,0.461030525763144,0.477877918198433,0.341815045376134,0.363765094127353,0.367278181954549,0.394835370884272,0.369435235880897,0.360823756436794,0.441942714296406,0.309937864673338,0.181651609409602,0.386976576749628,0.100366009150229,0.255958898972474,0.129315232880822,0.378808362262219,0.179197401926565,-0.0232880822020551,0.246414252761681,0.226006234908227,0.441702855355222,0.254506862671567,0.363628590714768,0.361944048601215,0.52860871521788,0.310933773344334,0.318677836450122,0.332209679820649,0.1412795319883,0.425523776380553,0.0365844146103653,0.257064426610665,0.391665791644791,0.350618765469137,0.29015868920559,0.468571214280357,0.107096677416935,0.20859229302945,0.459627990699768,0.438724968124203,0.292781417467811,0.157097427435686,0.397072825722981,0.424606615165379,0.420872153112531,0.229699242481062,0.456804920123003,0.396831164838253,0.342011550288757,0.401071026775669,0.206390987171314,0.294292357308933,0.381395034875872,0.410612765319133,0.239137478436961,0.110117794239037,0.265340983027463,0.444324024722159,0.320129003225081,0.421585539638491,0.439782494562364,0.370139418344856,0.403171230470002,0.372249306232656,0.623448586214655,0.309822245556139,0.416874547175969,0.295769894247356,0.292939323483087,0.418150453761344,0.0512660508760446,0.0336233405835146,0.285508994790763,0.035918397959949,0.300858134275178,0.449573913709219,0.143235580889522,0.364275653305222,0.335538022547761,0.342779569489237,0.353554869204432,0.438063737083776,0.4015001880673,0.225988149703743,0.321107027675692,0.0333953849777395,0.332333308332708,0.365865146628666,0.478245999421432,0.24385659641491,0.269675503172612,0.387939698492462,0.409961129803386,0.521782044551114,0.0977320165994549,0.120435806058587,0.486026723271712,0.493463021624208,0.225150463193019,0.267105777809131,0.457476936923423,0.368562984400056,0.380132003300083,0.672982824570614,0.165146690597286,0.153734401010436,0.440478511962799,0.41234996338035,0.00475137056602845,0.136506412660317,0.257479936998425,0.465794644866122,0.0884017100427511,0.333528838220956,0.343579089477237,0.303430585764644,0.357182929573239,0.311605790144754,0.237188929723243,0.0860856521413036,0.275970899272482,0.411560875740037,0.397616589520987,0.444504779308806,0.413852846321158,0.328782719567989,0.355585389634741,0.402421664174553,0.32609477465493,0.571296782419561,0.221413118357894,0.222461561539039,0.118948473711843,0.236786919672992,0.245169971188036,0.435042539204463,0.353915980618033,0.344908122703068,0.409918247956199,0.061208303160697,0.395537388434711,0.265187129678242,0.520961524038101,0.415201380034501,-0.0044236437685469,0.165310132753319,0.490217843766455,0.1475196879922,0.416541069729674,0.467710192754819,0.289957248931223,0.314685367134178,0.449685160760986,0.404172210564035,0.433954848871222,0.331124774806905,0.194966166603634,0.194305857646441,0.273657841446036,0.375180379509488,0.465814145353634,0.38939173479337,0.247873039778402,0.44253297282608,0.490076839712588,0.4015001880673,0.710338258456461,0.401438535963399,0.431031437422755,0.261521886117879,0.255038258514138,0.204627615690392,0.413704342608565,0.360555899105965,0.327287182179555,0.359619875354362,0.413132233230447,0.366900172504313,0.0615602698581913,0.357181429535738,0.23129528238206,0.303930962248188,0.424008259209607,0.326775669391735,0.397547438685967,0.307866196654916,0.445854068307599,0.403924098102453,0.459683492087302,0.548835220880522,0.240894112688126,0.362325194001823,0.254229355733893,0.27908797719943,0.174168115455256,0.373893347333683,0.449642241056026,0.345809645241131,0.0351578789469737,0.173972979804279,0.439456986424661,0.670549763744094,0.246843171079277,0.264008199208074,0.333053326333158,-0.00851421285532139,0.0162379059476487,0.329577739443486,0.365103127578189,0.334110852771319,0.216642997316072,0.338550963774094,0.120712517812945,0.379475556102664,0.391899944461118,0.165508949789613,0.349559738993475,0.0188322561169162,0.350497393871394,0.296932423310583,0.506984174604365,0.370084690331617,0.29795918368185,0.540366009150229,0.407993852844045
"AAL",0.344902122553064,1,0.236131403285082,0.262403060076502,0.152166804170104,0.203901674004992,0.28547277787331,0.281530038250956,0.315102850225886,0.392541813545339,0.145633186955149,0.281174529363234,0.323865596639916,0.424263106577664,0.0049936323312624,-0.0550663766594165,0.13818575646358,0.322085172911285,0.203750170160582,0.384179104477612,0.030059251481287,0.256100286657885,0.331518162273391,0.285199236930657,0.245388134703368,0.342371559288982,0.612652816320408,0.322922073051826,0.200957023925598,0.336067405786631,0.250035438520616,0.422852205583924,0.295742893572339,0.198898972474312,0.447291682292057,0.226685017195838,0.187270681767044,0.363571589289732,0.213509337733443,0.356059535010726,0.392036300907523,0.362970074251856,0.263465086627166,0.388016345914805,0.280006000150004,0.11893501797609,0.347542741856272,0.072196804920123,0.185445081547398,-0.0281617040426011,0.290180754518863,0.217253431335783,-0.0677904701831857,0.411178279456986,0.154529363234081,0.357532438310958,0.452932220309899,0.262955073876847,0.468695717392935,0.195493210640234,0.237925448136203,0.375129940943857,0.216145227848781,0.199660991524788,0.367942836549503,0.283213080327008,0.316870921773044,0.210886601247522,0.147437185929648,0.200727819287437,0.23708740607296,0.352190936845047,0.18707267681692,0.456030900772519,0.110257669908785,0.1665596639916,0.344548113702843,0.231106277656941,0.349647265652933,0.322958073951849,0.0891203951107753,0.449714242856071,0.382346488802262,0.399098627127691,0.12568668929975,0.264886471494233,0.20937673441836,0.0585044626115653,0.228797719942999,0.0981804545113628,0.325175251322025,0.0899258830360016,-0.0554548863721593,0.501384534613365,0.291266781669542,0.165907147678692,0.133309832745819,0.413206330158254,-0.126762966610287,0.242995574889372,0.141030126785731,0.412189304732618,0.267953198829971,0.303489087227181,0.306492277241557,0.0988824720618016,0.0214880694338642,0.31305044365503,0.288937331784814,0.278908600260063,0.287000032625848,0.29198379959499,0.228268549116808,0.348524713117828,0.345571139278482,0.103097577439436,0.27542348887105,0.244582614565364,-0.0400637666180808,0.769278770448854,0.225454474543829,0.446196654916373,0.0766391947195714,0.395320031245821,0.262404560114003,0.249238074416156,0.172838820970524,0.173689407368724,0.250714767869197,0.0793114827870697,0.20979224480612,0.347984699617491,0.0626493011678491,0.288833829158435,-0.0391449786244656,-0.0601995952893429,0.203403661367922,0.278071244550236,0.318983094196038,0.310364224652303,0.296536413410335,0.363090213414191,0.221090527263182,-0.163106638830972,0.221369534238356,-0.0605190129753244,0.282439060976524,0.369169729243231,0.420972932188184,0.245686642166054,0.168205205130128,0.042321323903597,-0.0852486312157804,-0.0879817325364693,0.393032273559945,0.301003525088127,0.00817220430510763,0.158160954023851,0.0999940373487048,0.298932085401688,0.33532738318458,0.0234305857646441,0.327769246230745,0.307943508172677,0.188817362047126,0.399918397929376,0.0220790519762994,0.324422110552764,0.268826220655516,0.269532738318458,0.462499756244061,0.199286056883707,0.364732755093686,0.308140703517588,0.377351075283562,0.311838295957399,0.232934880662389,0.212695647152061,0.0203285082127053,0.299875946712925,0.366859547214562,0.317427435685892,0.321839916687909,0.197430435760894,0.0853191649738172,0.409525391706843,0.31188779719493,0.317286432160804,0.306132153303833,0.284630615765394,0.172508127393745,0.283843096077402,0.458819470486762,0.288851721293032,0.297689942248556,0.238526963174079,0.423241755368954,0.180010770285615,0.0486582164554114,0.252940823520588,0.290470261756544,0.226824505671847,0.307080292162435,0.233725343133578,0.297912059518531,0.243436585914648,0.314514362859072,0.324284573183759,0.298149689873307,-0.0120513058018856,0.240136503412585,0.251734793369834,0.282836783047243,0.0593369834245856,0.0411655291382285,0.393800345008625,0.220609015225381,0.313360834020851,0.238606465161629,0.170126753168829,0.0742443561089027,0.333474836870922,0.305193129828246,0.29201530038251,0.411940388074199,0.344701117527938,0.383885097127428,0.202970074251856,0.216846921173029,0.324215976980439,0.343097577439436,0.346785350126273,0.32566414160354,0.32521563039076,0.316711917797945,0.24683267081677,0.100369009225231,0.36168403923515,0.450352677699228,0.206727745716562,0.061593062923976,0.453784248000823,-0.0196534913372834,0.243174079351984,0.0965079126978175,0.306640030990808,0.158224548956895,0.0960414010350259,0.215946229635592,0.276325761766224,0.407422241234299,0.249267231680792,0.318054451361284,0.346573164329108,0.272766819170479,0.283355583889597,0.213481667097318,0.126669964250352,0.217643441086027,0.459618179882284,-0.0632055801395035,0.2443201080027,0.330144753618841,0.762196054901373,0.233025175167404,0.408109202730068,-0.0500637515937898,0.112102344597002,0.390413260331508,0.333984849621241,0.177524103819233,0.242424060601515,0.348436341572192,0.18777619440486,0.410098867620453,0.214043351083777,0.234791869796745,0.402567318997406,0.432414310357759,0.298921473036826,0.0498725155150847,0.294302857571439,0.305199129978249,0.251992799819996,0.0764179104477612,-0.0358539097929635,0.280411865451106,0.19060533661043,0.290705767644191,0.482763069076727,0.320568514212855,0.341066212562314,0.378033592602439,0.44542413560339,0.348532213305333,0.357116927923198,0.31948746641822,0.190891772294307,0.226070651766294,0.235361884047101,-0.0899077814099596,-0.0871596789919748,0.241030616151902,0.0133158328958224,0.296677528192299,0.250601140930517,0.142515562889072,0.292977263897823,0.272028422830129,0.364905122628066,0.421535170682497,0.394866833183184,0.387995345381916,0.258382959573989,0.139641491037276,-0.0402625669580697,0.239005475136878,0.402190054751369,0.268146334790529,0.197601440036001,0.275464169596813,0.286417160429011,0.461833857455596,0.320568514212855,-0.0492785189218761,0.0326768291745426,0.211735587399627,0.42156844729938,0.081008055579416,0.264291706402069,0.383321083027076,0.359344465910627,0.36369609240231,0.31220730518263,0.132559863706551,0.0806720470531997,0.437611940298508,0.270665368133735,-0.0549801451211863,0.0276081902047551,0.15176029400735,0.434740868521713,-0.0329438235955899,0.269402235055876,0.373858846471162,0.21185629640741,0.248283207080177,0.409228230705768,0.186714167854196,-0.0145038625965649,0.0926618165454137,0.503329358218299,0.411296936659797,0.214330688641239,0.398901972549314,0.345497637440936,0.280568514212855,0.361988092684863,0.313603957700449,0.395444386109653,0.140217558020545,0.219420985524638,0.0770509262731569,0.231655291382285,0.265328982722955,0.427270841997646,0.26917433029865,0.200835520888022,0.4422395559889,-0.0383042219696352,0.289619740493512,0.23179179479487,0.446054151353784,0.31771244281107,-0.0917984834532942,0.0261426535663392,0.30191292999886,-0.00286057151428786,0.447121595710523,0.359779494487362,0.34187204680117,0.0961479036975924,0.338129580038117,0.288825153866902,0.21091127278182,0.196904217961998,0.21904330464782,0.118633465836646,0.0462221555538889,0.370333758343959,0.39608040201005,0.317641941048526,0.194741691570437,0.252065746891996,0.247993879825789,0.417714849514336,0.314709367734193,0.323577589439736,0.351228662427334,0.223950432742247,0.201413337453669,0.0119627990699768,0.257652441311033,0.24658675713898,0.354305857646441,0.458842143119414,0.344383238724707,0.826247656191405,-0.015064933116933,0.266277656941424,0.244866121653041,0.112274848974301,0.441380950041638,0.44294457361434,0.408337208430211,0.387422185554639,0.448402641579098,0.376969924248106,0.346094652366309,0.296945923648091,0.252786414455285,0.244711709559647,0.266994674866872,0.254812870321758,0.158005187137637,0.317116927923198,0.240904522613065,0.178727968199205,-0.00583514587864697,0.0845646775404705,0.385301132528313,0.232915322883072,0.241599039975999,0.173736658567723,0.396716417910448,-0.12091202280057,0.0115577889447236,0.358025950648766,0.314482862071552,0.306055651391285,0.15252837040741,0.245365634140854,0.0713147828695718,0.2662870566073,0.315491755603321,0.267464286906299,0.276941423535588,-0.0474162743124555,0.353409717771613,0.260757518937973,0.203811595289882,0.226377168079456,0.30601894562434,0.239803495087377,0.465610314861772
"AAP",0.255328883222081,0.236131403285082,1,0.237898447461187,0.139900997524938,0.159307792435244,0.241348843844213,0.26396759918998,0.326851161556149,0.296206405160129,0.289964336476713,0.411577289432236,0.326678166954174,0.282638565964149,0.166939423894921,0.164620115502888,0.189489308291211,0.315154247039041,0.135181930241489,0.300681017025426,0.169399234980875,0.308232668166053,0.375387525458485,0.334437236344896,0.351761794044851,0.363805595139879,0.275069376734418,0.315138378459462,0.08177604440111,0.23980085472292,0.209443521502716,0.419472616024797,0.320783019575489,0.142316057901448,0.299684992124803,0.175456294369697,0.24759918997975,0.358714467861697,0.216513912847821,0.363538724795167,0.372592814820371,0.18001650041251,0.256644416110403,0.265229980210767,0.322682067051676,0.261949396965966,0.213615891458382,0.165172129303233,0.263597328425046,0.106537163429086,0.162262056551414,0.128461711542789,0.164055412906114,0.422791569789245,0.55369534238356,0.201092027300683,0.284113733704336,0.182584564614115,0.282248556213905,0.37223894556327,0.168377709442736,0.336116907098416,0.172426569304281,0.156930923273082,0.312888439544176,0.187813695342384,0.336102902572564,0.247321025771046,0.0560849021225531,0.276112316976711,0.298779243911104,0.386907067766872,0.212378309457736,0.324261606540164,0.207621719125885,0.119149478736968,0.293269331733293,0.239947498687467,0.327710684333504,0.239801995049876,0.221540953913526,0.243061576539414,0.32075037960387,0.326273279184482,0.198122027346458,0.302895935984397,0.0792499812495313,0.13972849321233,0.275585389634741,0.210972774319358,0.40671957050913,0.19245810013987,0.139243981099528,0.336341408535213,0.22201605040126,0.18376059401485,0.121309532738318,0.336086402160054,0.115613183684544,0.301143028575714,0.202081704382386,0.317851946298658,0.17468836720918,0.259282982074552,0.251866141103348,0.241588539713493,0.199436285061779,0.329166102589876,0.272553166036607,0.257193258516946,0.255712988717107,0.32529663241581,0.198126750359107,0.248833720843021,0.459921998049951,0.0724968124203105,0.318590834242441,0.248865221630541,0.116072945350996,0.30059487759504,0.230934119754433,0.402917572939324,0.322196925747013,0.339255358604748,0.270798769969249,0.245968741456832,0.179506487662192,0.205028202590655,0.207197179929498,0.126978174454361,0.391422785569639,0.399540988524713,0.157394275086515,0.380993167701657,0.153689342233556,0.116617590366276,0.272880924353475,0.154025178224957,0.227842281497909,0.320427991342131,0.160478511962799,0.268695068137373,0.334899872496812,0.0636571152993052,0.217608940223506,0.171976299407485,0.279557488937223,0.363334583364584,0.377898589176727,0.215481887047176,0.303625590639766,0.14704048115222,0.136500412510313,0.0852966644028652,0.304274388926198,0.356024900622516,0.10436810920273,0.18331208280207,0.16125784191775,0.289899606202528,0.266798169954249,0.0115862896572414,0.391193164273084,0.385847040039654,0.258788163795291,0.298702579577978,0.109475736893422,0.361026025650641,0.272141303532588,0.340078001950049,0.323038060508967,0.407161331718821,0.358798604514615,0.359677491937298,0.332159428545523,0.277587939698492,0.252527127618492,0.289120336428557,0.186537163429086,0.193811135995322,0.264175595050215,0.312930323258081,0.325371756308339,0.0734553363834096,0.227959284466859,0.344418489619198,0.288506712667817,0.276869421735543,0.539657991449786,0.300388509712743,0.381842939264611,0.340081002025051,0.311260781519538,0.340855021375534,0.220193504837621,0.259914497862447,0.31693780048743,0.215510711034085,0.057430435760894,0.321459536488412,0.276380409510238,0.259149575920507,0.336062527586661,0.384621615540389,0.268831571601148,0.380946523663092,0.274934373359334,0.256223866437962,0.223181753413263,0.186843991166289,0.272535813395335,0.218513462836571,0.274538569368239,0.18307207680192,0.112253806345159,0.332261306532663,0.279533488337208,0.191997299932498,0.203160579014475,0.160459011475287,0.202628065701643,0.308778219455486,0.304798619965499,0.236881422035551,0.22603784623636,0.416771919297983,0.456386409660242,0.194637365934148,0.232498312457811,0.34894635451377,0.312409810245256,0.408323892436841,0.290014250356259,0.31843246081152,0.30659266481662,0.271182779569489,0.0777124428110703,0.340057714729665,0.330822894630975,0.334221230863757,0.263981198522931,0.337006952735443,0.221269031725793,0.27947198679967,0.175898897472437,0.444159020535177,0.231483655156713,0.126952673816845,0.408032853833695,0.195958222439908,0.391335718421855,0.398165454136354,0.329058726468162,0.344738618465462,0.247986199654991,0.380612015300383,0.193873169531691,0.147882002505824,0.22124803120078,0.326429650386102,0.184425110627766,0.342547063676592,0.263934598364959,0.29308782719568,0.388012282325918,0.355934898372459,0.0493092327308183,0.197570763358134,0.291079276981925,0.333657841446036,0.232458683188776,0.206780169504238,0.268494063036868,0.145758643966099,0.314592836710527,0.264419110477762,0.1374394359859,0.251325754380091,0.17755193879847,0.352982824570614,0.264431209941971,0.353435835895897,0.35606390159754,0.182605565139129,0.236426910672767,0.0967922061022367,0.144818924780226,0.19580746861453,0.230648766219156,0.315747393684842,0.280093002325058,0.27890266893389,0.335629766605351,0.307972699317483,0.237902947573689,0.23579239480987,0.184827397926253,0.0795709892747319,0.118754968874222,0.210120753018825,0.164070413286749,0.0736983424585615,0.191036597553676,0.144009600240006,0.219419567771548,0.183873372644582,0.182859071476787,0.240082862196118,0.169339182005117,0.284650116252906,0.353970380215474,0.337006952735443,0.434724531135008,0.173348833720843,0.257763444086102,0.0283087501819117,0.296920423010575,0.290686267156679,0.371006066360863,0.603901597539939,0.174139256504849,0.385227630690767,0.357384125300561,0.310519762994075,0.116508000081035,0.18217887278891,0.175638549609536,0.404640517753166,0.267534788695282,0.314346476541864,0.457914947873697,0.405585562682964,0.125886147153679,0.257458936473412,0.173379649508618,0.134627666177039,0.293651841296032,0.358976359025136,0.142921376629942,0.158214955373884,0.120936023400585,0.323591089777244,0.0814820370509263,0.372760819020476,0.353656341408535,0.230771769294232,0.232372309307733,0.276528913222831,0.173216830420761,0.16363159078977,0.0736473411835296,0.317378814820408,0.431623202438792,0.283933954824124,0.290359258981475,0.240831020775519,0.328005700142504,0.378263523983811,0.217801026701068,0.335867396684917,0.357988583960343,0.340510012750319,0.172804320108003,0.303402085052126,0.252328902845927,0.335725769041413,0.313305450125819,0.229757743943599,0.262188554713868,0.135076177558015,0.272246306157654,0.297416935423386,0.378406960174004,0.317877446936173,0.106114948738819,0.229289732243306,0.29243565752721,0.120904522613065,0.291555648224594,0.327671191779795,0.218873471836796,0.152153303832596,0.360715653159724,0.240726379249321,0.204123603090077,0.350730294353195,0.225682480585989,0.225535138378459,0.260763519087977,0.339243981099528,0.307018675466887,0.192060301507538,0.333386459681438,0.347754247937073,0.392146524215329,0.3407621468395,0.197014925373134,0.273464336608415,0.376553055033798,0.31021162161992,0.416499537238205,0.1195199879997,0.341501537538438,0.167756006808685,0.311586289657241,0.355550272088179,0.36571678006332,0.283607590189755,0.137580205431874,0.210882772069302,0.405380634515863,0.140718570733742,0.285645498254538,0.304377109427736,0.427011175279382,0.285386634665867,0.306756569253523,0.303811595289882,0.296675916897922,0.241612540313508,0.398962123663916,0.276928777067738,0.282731568289207,0.335835895897397,0.246698037498271,0.312774319357984,0.31091127278182,0.219146478661967,-0.00138453461336533,0.200681167540121,0.301569039225981,0.16,0.187528688217205,0.207132755993698,0.17003225080627,0.155694892372309,0.03673591839796,0.305155628890722,0.307446186154654,0.307461186529663,0.293683452217621,0.191092777319433,0.336908422710568,0.412494431102888,0.2625741628194,0.108534504063048,0.30230405760144,0.140848535304634,0.244653208075172,0.21422335558389,0.26097652441311,0.353754170751885,0.310159080178829,0.226429160729018,0.328873595167501
